BookingID,CustomerID,TurfID,BookingDate,BookingTime,SlotStartTime,SlotEndTime,DurationHours,NumberOfPlayers,SportType,Amount,BookingStatus,BookingChannel,PromoCodeUsed
BKG000039,CUST01457,TURF050,2025-04-16,07:27:23,10:00,11:00,1,18,Badminton,1800,Confirmed,Website,WEEKEND10
BKG000040,CUST01362,TURF012,2026-02-21,18:26:39,22:00,23:00,1,15,Badminton,1000,No-Show,Walk-in,NONE
BKG000041,CUST01474,TURF049,2025-08-20,05:53:18,07:00,08:00,1,10,Tennis,800,Completed,Website,NONE
BKG000042,CUST01586,TURF042,2026-04-16,16:35:37,09:00,10:00,1,8,Badminton,1500,Confirmed,Walk-in,FLAT100
BKG000043,CUST01992,TURF040,2025-07-22,17:27:50,12:00,13:00,1,8,Basketball,2000,Completed,Mobile App,WEEKEND10
BKG000044,CUST01643,TURF010,2026-02-22,20:27:44,11:00,12:00,1,21,Pickleball,2500,Confirmed,Mobile App,SUMMER20
BKG000045,CUST00945,TURF024,2025-01-12,22:27:10,20:00,21:00,1,9,Volleyball,1000,Confirmed,Mobile App,FIRST50
BKG000046,CUST00954,TURF047,2026-04-02,15:31:10,14:00,15:00,1,16,Pickleball,1200,Completed,Mobile App,NONE
BKG000047,CUST01509,TURF036,2025-09-02,09:06:44,16:00,17:00,1,8,Cricket,2500,Confirmed,Walk-in,WEEKEND10
BKG000048,CUST00926,TURF024,2025-04-02,18:34:12,22:00,23:00,1,7,Volleyball,1000,Confirmed,Walk-in,FIRST50
BKG000049,CUST01141,TURF008,2025-01-03,22:07:49,21:00,22:00,1,15,Cricket,1000,Confirmed,Walk-in,WEEKEND10
BKG000050,CUST00901,TURF020,2024-12-25,08:18:17,07:00,08:00,1,15,Basketball,1500,Confirmed,Website,NONE
BKG000051,CUST01289,TURF028,2025-03-06,13:24:53,20:00,21:00,1,8,Volleyball,1500,Cancelled,Phone Call,WEEKEND10
BKG000052,CUST00764,TURF023,2026-02-19,15:01:33,11:00,12:00,1,15,Tennis,1500,Completed,Walk-in,NONE
BKG000053,CUST01591,TURF010,2025-11-07,12:00:40,18:00,19:00,1,20,Pickleball,2500,Completed,Mobile App,NONE
BKG000054,CUST01320,TURF029,2026-04-17,20:10:23,22:00,23:00,1,13,Pickleball,2000,Confirmed,Walk-in,FLAT100
BKG000055,CUST02057,TURF048,2025-06-07,21:15:45,12:00,13:00,1,16,Tennis,1800,Confirmed,Mobile App,NONE
BKG000056,CUST01684,TURF019,2024-09-30,08:36:24,10:00,11:00,1,19,Football,1000,Completed,Phone Call,NONE
BKG000057,CUST00544,TURF017,2026-06-18,10:25:16,22:00,23:00,1,18,Tennis,1200,Completed,Walk-in,NONE
BKG000058,CUST02301,TURF022,2024-09-19,19:33:53,17:00,18:00,1,18,Volleyball,1800,Confirmed,Mobile App,NONE
BKG000059,CUST01782,TURF018,2026-05-08,21:15:31,15:00,16:00,1,22,Pickleball,1200,Completed,Website,NONE
BKG000060,CUST01415,TURF039,2026-02-07,04:26:08,07:00,08:00,1,15,Cricket,2500,Completed,Website,SUMMER20
BKG000061,CUST00904,TURF015,2025-02-17,14:03:01,21:00,22:00,1,9,Football,2500,Cancelled,Mobile App,FLAT100
BKG000062,CUST00195,TURF044,2025-03-25,20:51:01,08:00,09:00,1,20,Hockey,1000,Confirmed,Walk-in,SUMMER20
BKG000063,CUST02095,TURF009,2024-11-05,03:55:15,21:00,22:00,1,16,Badminton,1000,Completed,Walk-in,NONE
BKG000064,CUST00741,TURF023,2025-01-27,14:27:50,11:00,12:00,1,9,Tennis,1500,Completed,Website,WEEKEND10
BKG000065,CUST01495,TURF015,2024-01-07,12:33:57,08:00,09:00,1,11,Football,2500,Pending,Website,NONE
BKG000066,CUST02052,TURF032,2026-04-27,06:42:00,16:00,17:00,1,13,Cricket,800,Completed,Phone Call,NONE
BKG000067,CUST00677,TURF015,2024-02-11,19:43:38,22:00,23:00,1,7,Football,2500,Completed,Walk-in,NONE
BKG000068,CUST02334,TURF011,2024-12-05,01:42:42,21:00,22:00,1,10,Volleyball,2500,Confirmed,Website,NONE
BKG000069,CUST01391,TURF039,2025-12-01,16:49:14,16:00,17:00,1,10,Cricket,2500,Confirmed,Walk-in,WEEKEND10
BKG000070,CUST02375,TURF025,2025-01-11,21:10:01,12:00,13:00,1,6,Pickleball,2500,Confirmed,Phone Call,NONE
BKG000071,CUST01943,TURF023,2025-10-25,17:02:17,14:00,15:00,1,11,Tennis,1500,Confirmed,Phone Call,SUMMER20
BKG000072,CUST00015,TURF012,2024-11-07,05:08:48,07:00,08:00,1,22,Badminton,1000,Confirmed,Phone Call,FIRST50
BKG000073,CUST00552,TURF021,2026-02-09,14:12:03,10:00,11:00,1,13,Tennis,2500,Confirmed,Mobile App,NONE
BKG000074,CUST00848,TURF033,2025-02-25,07:30:14,19:00,20:00,1,15,Badminton,1000,Confirmed,Phone Call,NONE
BKG000075,CUST00168,TURF050,2026-04-13,16:01:48,19:00,20:00,1,5,Badminton,1800,Pending,Website,NONE
BKG000076,CUST00179,TURF045,2024-12-02,04:20:41,09:00,10:00,1,9,Hockey,2500,Confirmed,Phone Call,WEEKEND10
BKG000077,CUST01784,TURF050,2024-04-19,07:23:36,22:00,23:00,1,18,Badminton,1800,Completed,Website,NONE
BKG000078,CUST00916,TURF041,2025-07-25,23:47:49,12:00,13:00,1,15,Volleyball,2000,Completed,Phone Call,NONE
BKG000079,CUST02206,TURF046,2024-03-08,04:45:41,22:00,23:00,1,14,Football,800,Confirmed,Walk-in,NONE
BKG000080,CUST01336,TURF028,2024-09-11,13:34:24,13:00,14:00,1,17,Volleyball,1500,Cancelled,Phone Call,NONE
BKG000081,CUST00910,TURF036,2024-10-28,02:38:57,08:00,09:00,1,18,Cricket,2500,Confirmed,Website,FIRST50
BKG000082,CUST00602,TURF038,2024-10-07,13:46:36,15:00,16:00,1,6,Tennis,800,Cancelled,Phone Call,SUMMER20
BKG000083,CUST00468,TURF015,2025-08-04,06:57:33,18:00,19:00,1,5,Football,2500,Confirmed,Walk-in,NONE
BKG000084,CUST01435,TURF037,2024-05-27,22:34:47,22:00,23:00,1,20,Tennis,1500,Confirmed,Mobile App,NONE
BKG000085,CUST02133,TURF005,2025-03-15,04:14:33,11:00,12:00,1,10,Badminton,1200,No-Show,Website,WEEKEND10
BKG000086,CUST02328,TURF017,2025-11-03,04:08:51,14:00,15:00,1,4,Tennis,1200,Pending,Mobile App,SUMMER20
BKG000087,CUST02269,TURF042,2024-12-04,03:57:31,22:00,23:00,1,7,Badminton,1500,Cancelled,Walk-in,WEEKEND10
BKG000088,CUST01988,TURF024,2024-02-05,09:52:06,08:00,09:00,1,4,Volleyball,1000,Confirmed,Walk-in,NONE
BKG000089,CUST02132,TURF014,2024-04-29,06:14:52,18:00,19:00,1,8,Basketball,1500,Completed,Website,NONE
BKG000090,CUST01739,TURF027,2025-07-13,17:31:57,10:00,11:00,1,17,Badminton,1800,Completed,Website,WEEKEND10
BKG000091,CUST01967,TURF033,2025-03-23,19:52:51,07:00,08:00,1,20,Badminton,1000,Completed,Website,FIRST50
BKG000092,CUST00227,TURF047,2024-02-19,12:52:20,10:00,11:00,1,20,Pickleball,1200,Confirmed,Website,FLAT100
BKG000093,CUST00299,TURF048,2024-06-13,23:15:02,17:00,18:00,1,17,Tennis,1800,Cancelled,Website,NONE
BKG000094,CUST01979,TURF026,2026-05-07,05:07:45,19:00,20:00,1,20,Basketball,1500,Completed,Walk-in,WEEKEND10
BKG000095,CUST02043,TURF045,2024-02-18,19:36:43,21:00,22:00,1,10,Hockey,2500,Completed,Phone Call,NONE
BKG000096,CUST01565,TURF005,2025-05-16,09:19:27,09:00,10:00,1,8,Badminton,1200,Confirmed,Phone Call,NONE
BKG000097,CUST00074,TURF034,2026-06-11,17:19:11,22:00,23:00,1,10,Tennis,1200,Confirmed,Website,NONE
BKG000098,CUST02384,TURF031,2026-03-26,03:58:39,19:00,20:00,1,11,Football,2000,Confirmed,Walk-in,FLAT100
BKG000099,CUST02031,TURF022,2024-11-14,19:26:54,06:00,07:00,1,8,Volleyball,1800,Confirmed,Mobile App,NONE
BKG000100,CUST01771,TURF032,2024-06-17,14:51:27,06:00,07:00,1,17,Cricket,800,Completed,Mobile App,NONE
BKG000101,CUST01597,TURF002,2025-05-05,04:51:59,11:00,12:00,1,18,Basketball,2500,Confirmed,Mobile App,NONE
BKG000102,CUST01385,TURF010,2026-01-12,01:28:46,22:00,23:00,1,7,Pickleball,2500,Cancelled,Walk-in,FIRST50
BKG000103,CUST00208,TURF042,2024-02-16,03:20:49,20:00,21:00,1,5,Badminton,1500,Cancelled,Mobile App,NONE
BKG000104,CUST01715,TURF047,2025-10-27,15:58:49,18:00,19:00,1,21,Pickleball,1200,Confirmed,Mobile App,NONE
BKG000105,CUST00678,TURF034,2025-12-12,06:57:10,08:00,09:00,1,10,Tennis,1200,Confirmed,Mobile App,NONE
BKG000106,CUST02446,TURF048,2025-07-25,22:45:31,08:00,09:00,1,11,Tennis,1800,Confirmed,Walk-in,FLAT100
BKG000107,CUST01278,TURF008,2024-07-06,07:47:56,08:00,09:00,1,19,Cricket,1000,Confirmed,Phone Call,NONE
BKG000108,CUST00927,TURF015,2024-01-04,02:44:01,11:00,12:00,1,19,Football,2500,Completed,Website,FIRST50
BKG000109,CUST01014,TURF008,2026-01-16,01:28:24,13:00,14:00,1,16,Cricket,1000,No-Show,Website,SUMMER20
BKG000110,CUST02456,TURF035,2024-10-17,01:59:12,22:00,23:00,1,5,Volleyball,800,Completed,Website,NONE
BKG000111,CUST01156,TURF043,2024-11-18,20:28:17,16:00,17:00,1,10,Volleyball,1500,Completed,Walk-in,NONE
BKG000112,CUST00153,TURF029,2025-05-30,19:35:32,16:00,17:00,1,7,Pickleball,2000,Completed,Website,WEEKEND10
BKG000113,CUST02315,TURF010,2025-08-22,07:19:05,08:00,09:00,1,20,Pickleball,2500,Completed,Website,NONE
BKG000114,CUST00864,TURF003,2024-07-12,12:20:26,14:00,15:00,1,7,Cricket,1000,Completed,Website,NONE
BKG000115,CUST00399,TURF028,2025-02-07,01:22:04,12:00,13:00,1,22,Volleyball,1500,Confirmed,Phone Call,FIRST50
BKG000116,CUST00059,TURF050,2025-12-16,11:22:41,22:00,23:00,1,6,Badminton,1800,Completed,Walk-in,NONE
BKG000117,CUST01361,TURF013,2025-10-27,03:40:23,10:00,11:00,1,6,Badminton,1500,Confirmed,Walk-in,NONE
BKG000118,CUST01391,TURF048,2026-06-07,00:14:36,09:00,10:00,1,12,Tennis,1800,Confirmed,Mobile App,SUMMER20
BKG000119,CUST02312,TURF045,2025-08-06,08:03:07,07:00,08:00,1,18,Hockey,2500,Cancelled,Phone Call,FIRST50
BKG000120,CUST00675,TURF013,2024-06-26,04:18:04,11:00,12:00,1,5,Badminton,1500,Completed,Website,SUMMER20
BKG000121,CUST01117,TURF019,2025-06-01,18:10:31,12:00,13:00,1,19,Football,1000,No-Show,Website,FLAT100
BKG000122,CUST01876,TURF031,2025-10-21,01:33:04,08:00,09:00,1,14,Football,2000,No-Show,Walk-in,FIRST50
BKG000123,CUST00219,TURF044,2024-11-25,07:15:46,21:00,22:00,1,7,Hockey,1000,Completed,Website,NONE
BKG000124,CUST02284,TURF007,2026-05-27,15:52:00,20:00,21:00,1,8,Pickleball,1500,Completed,Mobile App,WEEKEND10
BKG000125,CUST00018,TURF040,2025-02-01,09:49:45,11:00,12:00,1,19,Basketball,2000,Completed,Mobile App,NONE
BKG000126,CUST00630,TURF046,2025-09-12,15:14:23,09:00,10:00,1,16,Football,800,Confirmed,Mobile App,NONE
BKG000127,CUST00857,TURF040,2024-08-02,09:46:52,11:00,12:00,1,16,Basketball,2000,Confirmed,Phone Call,FIRST50
BKG000128,CUST01705,TURF029,2024-08-06,07:17:19,08:00,09:00,1,6,Pickleball,2000,Completed,Walk-in,NONE
BKG000129,CUST01710,TURF008,2026-04-16,08:25:25,13:00,14:00,1,8,Cricket,1000,Completed,Phone Call,NONE
BKG000130,CUST02449,TURF008,2026-01-02,18:53:45,12:00,13:00,1,21,Cricket,1000,Completed,Walk-in,NONE
BKG000131,CUST01148,TURF040,2024-05-16,23:29:17,17:00,18:00,1,15,Basketball,2000,Completed,Website,WEEKEND10
BKG000132,CUST00546,TURF017,2024-03-15,13:54:06,08:00,09:00,1,16,Tennis,1200,Completed,Website,NONE
BKG000133,CUST00754,TURF016,2025-08-06,13:04:20,08:00,09:00,1,12,Cricket,2000,Completed,Walk-in,FIRST50
BKG000134,CUST02177,TURF018,2025-06-25,02:48:33,13:00,14:00,1,17,Pickleball,1200,Confirmed,Phone Call,FIRST50
BKG000135,CUST00832,TURF014,2024-09-13,10:26:29,09:00,10:00,1,10,Basketball,1500,Completed,Phone Call,NONE
BKG000136,CUST02417,TURF010,2025-02-08,13:09:06,15:00,16:00,1,15,Pickleball,2500,No-Show,Website,NONE
BKG000137,CUST02392,TURF032,2024-04-25,23:13:25,12:00,13:00,1,10,Cricket,800,Confirmed,Mobile App,NONE
BKG000138,CUST00955,TURF008,2024-01-01,08:56:27,12:00,13:00,1,11,Cricket,1000,Completed,Phone Call,NONE
BKG000139,CUST00318,TURF014,2026-05-11,11:15:17,13:00,14:00,1,7,Basketball,1500,Confirmed,Phone Call,SUMMER20
BKG000140,CUST00781,TURF038,2025-07-01,19:24:04,13:00,14:00,1,14,Tennis,800,Confirmed,Mobile App,NONE
BKG000141,CUST02260,TURF050,2025-11-11,13:26:16,10:00,11:00,1,19,Badminton,1800,Completed,Phone Call,FIRST50
BKG000142,CUST02054,TURF009,2024-12-04,07:20:32,07:00,08:00,1,18,Badminton,1000,Completed,Phone Call,NONE
BKG000143,CUST00935,TURF011,2025-03-01,19:31:20,14:00,15:00,1,6,Volleyball,2500,Confirmed,Walk-in,NONE
BKG000144,CUST00058,TURF027,2026-03-16,01:34:30,14:00,15:00,1,11,Badminton,1800,Completed,Website,FLAT100
BKG000145,CUST00798,TURF027,2025-04-28,00:43:42,17:00,18:00,1,17,Badminton,1800,No-Show,Mobile App,FLAT100
BKG000146,CUST00078,TURF022,2024-04-27,23:24:50,17:00,18:00,1,10,Volleyball,1800,Confirmed,Walk-in,FIRST50
BKG000147,CUST00254,TURF030,2026-01-04,05:16:17,22:00,23:00,1,15,Football,2500,No-Show,Walk-in,FIRST50
BKG000148,CUST01273,TURF025,2025-10-16,20:43:15,07:00,08:00,1,17,Pickleball,2500,Completed,Mobile App,FLAT100
BKG000149,CUST00976,TURF013,2026-01-10,22:43:24,18:00,19:00,1,10,Badminton,1500,No-Show,Website,NONE
BKG000150,CUST00738,TURF022,2024-07-25,07:24:22,21:00,22:00,1,22,Volleyball,1800,Completed,Mobile App,NONE
BKG000151,CUST00569,TURF042,2024-08-09,07:20:30,12:00,13:00,1,12,Badminton,1500,Cancelled,Walk-in,FIRST50
BKG000152,CUST00078,TURF004,2025-03-09,01:26:20,12:00,13:00,1,4,Football,1000,Confirmed,Phone Call,FLAT100
BKG000153,CUST02102,TURF027,2024-09-23,21:23:42,11:00,12:00,1,8,Badminton,1800,Completed,Walk-in,NONE
BKG000154,CUST02154,TURF044,2025-09-14,20:02:33,09:00,10:00,1,16,Hockey,1000,Completed,Mobile App,FIRST50
BKG000155,CUST00431,TURF044,2025-07-10,21:54:45,14:00,15:00,1,4,Hockey,1000,Confirmed,Phone Call,NONE
BKG000156,CUST01482,TURF025,2025-01-08,04:39:39,09:00,10:00,1,4,Pickleball,2500,Completed,Walk-in,FIRST50
BKG000157,CUST01979,TURF044,2024-12-06,03:51:30,14:00,15:00,1,18,Hockey,1000,Completed,Website,WEEKEND10
BKG000158,CUST02041,TURF035,2026-01-02,20:43:01,07:00,08:00,1,9,Volleyball,800,Confirmed,Website,FLAT100
BKG000159,CUST01796,TURF050,2025-02-11,20:26:42,14:00,15:00,1,7,Badminton,1800,Completed,Mobile App,NONE
BKG000160,CUST00269,TURF030,2025-12-14,03:57:14,22:00,23:00,1,5,Football,2500,Pending,Website,SUMMER20
BKG000161,CUST01488,TURF048,2026-03-29,03:50:39,19:00,20:00,1,15,Tennis,1800,Confirmed,Walk-in,NONE
BKG000162,CUST01341,TURF015,2024-08-18,22:20:01,08:00,09:00,1,4,Football,2500,Cancelled,Website,SUMMER20
BKG000163,CUST00845,TURF045,2024-04-21,00:30:40,11:00,12:00,1,7,Hockey,2500,No-Show,Mobile App,FIRST50
BKG000164,CUST00843,TURF021,2024-07-20,17:08:22,21:00,22:00,1,6,Tennis,2500,No-Show,Website,NONE
BKG000165,CUST00536,TURF003,2025-12-29,18:44:54,16:00,17:00,1,14,Cricket,1000,Confirmed,Walk-in,NONE
BKG000166,CUST01482,TURF001,2024-10-28,03:03:44,08:00,09:00,1,19,Basketball,1000,Confirmed,Walk-in,NONE
BKG000167,CUST01017,TURF035,2025-10-24,16:57:05,06:00,07:00,1,20,Volleyball,800,Completed,Website,FLAT100
BKG000168,CUST02245,TURF014,2024-06-08,03:13:28,06:00,07:00,1,11,Basketball,1500,Confirmed,Phone Call,NONE
BKG000169,CUST00226,TURF016,2024-09-07,20:19:43,13:00,14:00,1,10,Cricket,2000,Completed,Website,NONE
BKG000170,CUST00162,TURF014,2025-12-14,08:26:18,11:00,12:00,1,14,Basketball,1500,Pending,Website,FIRST50
BKG000171,CUST00186,TURF020,2025-09-12,02:30:29,07:00,08:00,1,7,Basketball,1500,Confirmed,Walk-in,FIRST50
BKG000172,CUST01492,TURF033,2025-12-05,05:42:30,12:00,13:00,1,21,Badminton,1000,Pending,Phone Call,SUMMER20
BKG000173,CUST00081,TURF025,2024-11-01,05:27:54,20:00,21:00,1,15,Pickleball,2500,Completed,Walk-in,NONE
BKG000174,CUST00311,TURF019,2024-04-14,06:34:33,21:00,22:00,1,9,Football,1000,Confirmed,Website,NONE
BKG000175,CUST01411,TURF043,2025-11-07,16:54:20,10:00,11:00,1,16,Volleyball,1500,No-Show,Walk-in,NONE
BKG000176,CUST00110,TURF011,2025-04-07,14:27:14,20:00,21:00,1,7,Volleyball,2500,Cancelled,Phone Call,NONE
BKG000177,CUST02131,TURF004,2025-07-27,10:30:04,22:00,23:00,1,19,Football,1000,Completed,Website,SUMMER20
BKG000178,CUST01627,TURF018,2026-05-23,13:24:05,17:00,18:00,1,20,Pickleball,1200,Confirmed,Mobile App,NONE
BKG000179,CUST00842,TURF045,2024-03-06,07:09:05,13:00,14:00,1,21,Hockey,2500,Confirmed,Website,FIRST50
BKG000180,CUST00318,TURF041,2025-04-25,02:33:40,07:00,08:00,1,5,Volleyball,2000,Completed,Walk-in,FLAT100
BKG000181,CUST01534,TURF020,2026-06-16,03:55:56,13:00,14:00,1,6,Basketball,1500,Completed,Phone Call,NONE
BKG000182,CUST01744,TURF018,2024-06-20,03:16:33,12:00,13:00,1,13,Pickleball,1200,Completed,Website,SUMMER20
BKG000183,CUST01438,TURF033,2025-07-03,19:01:17,10:00,11:00,1,18,Badminton,1000,Confirmed,Mobile App,WEEKEND10
BKG000184,CUST02017,TURF015,2024-09-21,07:12:03,13:00,14:00,1,8,Football,2500,Confirmed,Website,NONE
BKG000185,CUST01022,TURF040,2024-02-22,19:18:48,20:00,21:00,1,18,Basketball,2000,Completed,Website,FLAT100
BKG000186,CUST01157,TURF044,2026-02-01,11:14:45,09:00,10:00,1,22,Hockey,1000,Cancelled,Website,NONE
BKG000187,CUST00247,TURF014,2025-01-17,03:53:24,14:00,15:00,1,21,Basketball,1500,Completed,Phone Call,NONE
BKG000188,CUST01878,TURF021,2026-02-03,16:44:04,14:00,15:00,1,17,Tennis,2500,Confirmed,Mobile App,NONE
BKG000189,CUST01567,TURF012,2025-12-23,15:56:00,20:00,21:00,1,17,Badminton,1000,Completed,Walk-in,FLAT100
BKG000190,CUST01140,TURF025,2025-07-26,04:39:15,06:00,07:00,1,9,Pickleball,2500,Completed,Walk-in,NONE
BKG000191,CUST01086,TURF014,2024-09-14,23:25:13,19:00,20:00,1,15,Basketball,1500,Completed,Phone Call,WEEKEND10
BKG000192,CUST02281,TURF026,2024-01-22,23:54:45,06:00,07:00,1,8,Basketball,1500,Cancelled,Phone Call,NONE
BKG000193,CUST02311,TURF036,2025-02-22,03:18:03,13:00,14:00,1,18,Cricket,2500,Completed,Mobile App,NONE
BKG000194,CUST00127,TURF017,2026-03-24,22:53:10,07:00,08:00,1,15,Tennis,1200,Confirmed,Mobile App,NONE
BKG000195,CUST01970,TURF015,2025-02-27,07:07:52,11:00,12:00,1,13,Football,2500,Cancelled,Website,NONE
BKG000196,CUST01785,TURF025,2025-04-02,04:05:44,14:00,15:00,1,5,Pickleball,2500,Completed,Mobile App,WEEKEND10
BKG000197,CUST01751,TURF042,2024-12-03,17:26:55,19:00,20:00,1,20,Badminton,1500,Confirmed,Walk-in,FLAT100
BKG000198,CUST02007,TURF048,2025-05-22,16:14:55,12:00,13:00,1,6,Tennis,1800,Completed,Website,WEEKEND10
BKG000199,CUST00489,TURF027,2024-10-20,06:39:11,21:00,22:00,1,15,Badminton,1800,Confirmed,Phone Call,SUMMER20
BKG000200,CUST00797,TURF041,2024-06-14,19:28:51,14:00,15:00,1,21,Volleyball,2000,Confirmed,Website,NONE
BKG000201,CUST01492,TURF043,2026-05-03,22:14:27,18:00,19:00,1,6,Volleyball,1500,Completed,Phone Call,NONE
BKG000202,CUST00658,TURF032,2025-01-21,20:09:43,09:00,10:00,1,5,Cricket,800,No-Show,Mobile App,NONE
BKG000203,CUST02228,TURF049,2024-05-14,00:10:51,10:00,11:00,1,4,Tennis,800,Confirmed,Phone Call,NONE
BKG000204,CUST02440,TURF022,2025-02-21,12:59:41,09:00,10:00,1,21,Volleyball,1800,Cancelled,Walk-in,NONE
BKG000205,CUST01553,TURF044,2024-07-19,09:11:39,10:00,11:00,1,12,Hockey,1000,Completed,Website,NONE
BKG000206,CUST01159,TURF005,2025-05-14,00:14:44,16:00,17:00,1,20,Badminton,1200,Confirmed,Phone Call,NONE
BKG000207,CUST00072,TURF006,2026-04-05,09:49:46,18:00,19:00,1,6,Cricket,1500,Completed,Website,NONE
BKG000208,CUST00843,TURF043,2026-02-01,05:26:12,06:00,07:00,1,11,Volleyball,1500,Completed,Mobile App,WEEKEND10
BKG000209,CUST01910,TURF014,2025-07-06,20:02:28,06:00,07:00,1,8,Basketball,1500,Confirmed,Website,WEEKEND10
BKG000210,CUST02087,TURF026,2025-08-01,04:33:22,10:00,11:00,1,11,Basketball,1500,Completed,Mobile App,FLAT100
BKG000211,CUST01019,TURF044,2026-01-28,03:28:01,08:00,09:00,1,9,Hockey,1000,Confirmed,Phone Call,FLAT100
