ReviewID,BookingID,CustomerID,TurfID,Rating,ReviewTag,ReviewDate,WouldRecommend,ResponseFromOwner
REV00052,BKG007479,CUST00821,TURF029,2,Great experience,2024-07-09,Yes,Yes
REV00053,BKG005484,CUST01985,TURF044,5,Clean facility,2026-01-30,Yes,No
REV00054,BKG002830,CUST00712,TURF041,5,Great experience,2025-08-26,Yes,Yes
REV00055,BKG004547,CUST01141,TURF040,4,Crowded,2026-05-03,Yes,Yes
REV00056,BKG009239,CUST02315,TURF024,5,Clean facility,2024-10-22,Yes,No
REV00057,BKG001117,CUST01653,TURF017,5,Friendly staff,2026-01-26,Yes,No
REV00058,BKG001168,CUST00529,TURF019,4,Friendly staff,2026-01-15,Yes,No
REV00059,BKG003486,CUST00054,TURF040,5,Poor lighting,2025-12-09,Yes,Yes
REV00060,BKG004770,CUST00189,TURF011,2,Poor lighting,2026-02-20,No,No
REV00061,BKG002796,CUST02180,TURF049,5,Clean facility,2026-02-23,Yes,No
REV00062,BKG005797,CUST02475,TURF021,5,Well maintained,2024-08-17,Yes,Yes
REV00063,BKG009047,CUST00093,TURF032,5,Clean facility,2026-05-01,Yes,No
REV00064,BKG009607,CUST01253,TURF046,5,Excellent surface quality,2024-07-31,Yes,No
REV00065,BKG002216,CUST01654,TURF016,4,Average experience,2024-05-30,Yes,No
REV00066,BKG007515,CUST02098,TURF043,5,Value for money,2024-02-11,Yes,No
REV00067,BKG007011,CUST01646,TURF033,5,Poor lighting,2024-03-25,Yes,No
REV00068,BKG000144,CUST00058,TURF027,5,Excellent surface quality,2026-03-19,Yes,Yes
REV00069,BKG004807,CUST00832,TURF050,4,Average experience,2025-12-07,Yes,No
REV00070,BKG005070,CUST00898,TURF021,3,Value for money,2024-12-30,No,Yes
REV00071,BKG005684,CUST00348,TURF023,4,Friendly staff,2025-05-08,Yes,Yes
REV00072,BKG000457,CUST00262,TURF002,5,Value for money,2025-02-04,Yes,No
REV00073,BKG006663,CUST01393,TURF021,5,Great experience,2025-07-04,Yes,No
REV00074,BKG002184,CUST01921,TURF021,5,Will book again,2025-06-07,Yes,No
REV00075,BKG005221,CUST02409,TURF023,4,Crowded,2024-12-13,Yes,Yes
REV00076,BKG002954,CUST01268,TURF027,5,Friendly staff,2026-01-09,Yes,Yes
REV00077,BKG006085,CUST02432,TURF040,5,Excellent surface quality,2025-12-26,Yes,Yes
REV00078,BKG004865,CUST02003,TURF036,5,Excellent surface quality,2025-01-07,Yes,No
REV00079,BKG007321,CUST00310,TURF036,5,Friendly staff,2025-09-17,Yes,No
REV00080,BKG002633,CUST02106,TURF024,5,Average experience,2026-04-08,Yes,Yes
REV00081,BKG005723,CUST00742,TURF040,5,Crowded,2025-02-13,Yes,Yes
REV00082,BKG001059,CUST00971,TURF011,5,Crowded,2025-05-14,Yes,No
REV00083,BKG009190,CUST00151,TURF017,5,Friendly staff,2025-03-19,Yes,No
REV00084,BKG003361,CUST01830,TURF037,5,Value for money,2026-02-16,Yes,No
REV00085,BKG002932,CUST01413,TURF009,5,Well maintained,2024-12-03,Yes,Yes
REV00086,BKG003990,CUST02051,TURF008,3,Great experience,2026-01-03,Yes,Yes
REV00087,BKG004391,CUST02387,TURF041,4,Average experience,2026-01-19,Yes,Yes
REV00088,BKG006386,CUST02032,TURF035,5,Value for money,2025-05-13,Yes,No
REV00089,BKG005424,CUST00506,TURF012,2,Great experience,2024-05-05,No,No
REV00090,BKG003364,CUST00517,TURF043,5,Will book again,2026-02-11,Yes,No
REV00091,BKG009762,CUST00055,TURF047,5,Poor lighting,2024-01-16,Yes,No
REV00092,BKG009513,CUST01150,TURF011,4,Value for money,2025-08-02,Yes,No
REV00093,BKG005676,CUST01904,TURF016,2,Crowded,2025-07-14,No,Yes
REV00094,BKG008947,CUST01087,TURF008,4,Great experience,2024-01-02,Yes,No
REV00095,BKG001998,CUST02302,TURF029,5,Value for money,2024-02-24,Yes,Yes
REV00096,BKG003290,CUST02154,TURF013,4,Will book again,2025-03-13,Yes,No
REV00097,BKG007247,CUST00237,TURF016,4,Crowded,2024-10-24,Yes,No
REV00098,BKG001996,CUST01344,TURF012,3,Friendly staff,2025-02-11,Yes,No
REV00099,BKG001872,CUST01005,TURF010,4,Excellent surface quality,2025-09-14,Yes,Yes
REV00100,BKG005989,CUST01212,TURF010,2,Value for money,2024-08-19,No,Yes
REV00101,BKG006480,CUST00973,TURF022,5,Friendly staff,2024-08-13,Yes,No
REV00102,BKG000070,CUST02375,TURF025,4,Will book again,2025-01-14,Yes,No
REV00103,BKG008457,CUST02092,TURF011,5,Friendly staff,2026-03-26,Yes,No
REV00104,BKG004839,CUST01316,TURF037,1,Poor lighting,2024-02-22,No,No
REV00105,BKG001267,CUST02022,TURF041,4,Friendly staff,2025-04-22,Yes,Yes
REV00106,BKG009537,CUST01061,TURF014,4,Friendly staff,2024-07-17,Yes,Yes
REV00107,BKG009704,CUST00967,TURF018,5,Clean facility,2026-01-07,Yes,No
REV00108,BKG009925,CUST02348,TURF038,5,Poor lighting,2025-05-16,Yes,No
REV00109,BKG004847,CUST02411,TURF033,5,Value for money,2025-01-10,Yes,Yes
REV00110,BKG009681,CUST01314,TURF001,5,Poor lighting,2025-01-29,Yes,No
REV00111,BKG003392,CUST00887,TURF002,5,Crowded,2025-03-05,Yes,No
REV00112,BKG001545,CUST01740,TURF034,4,Average experience,2024-03-16,Yes,Yes
REV00113,BKG007677,CUST00173,TURF007,4,Clean facility,2024-04-15,Yes,No
REV00114,BKG003987,CUST01396,TURF044,5,Value for money,2026-01-04,Yes,No
REV00115,BKG001711,CUST00762,TURF032,4,Clean facility,2025-09-17,Yes,No
REV00116,BKG007004,CUST00414,TURF019,3,Crowded,2024-07-10,No,Yes
REV00117,BKG009791,CUST02075,TURF032,4,Excellent surface quality,2025-12-07,Yes,No
REV00118,BKG003805,CUST01878,TURF037,4,Will book again,2026-01-15,Yes,Yes
REV00119,BKG000247,CUST02187,TURF034,5,Poor lighting,2024-04-05,Yes,No
REV00120,BKG004666,CUST02292,TURF033,5,Friendly staff,2026-04-15,Yes,No
REV00121,BKG004015,CUST00946,TURF027,4,Excellent surface quality,2025-10-18,Yes,No
REV00122,BKG003630,CUST01333,TURF013,3,Crowded,2025-02-17,Yes,Yes
REV00123,BKG005778,CUST01474,TURF021,4,Great experience,2024-12-14,Yes,No
REV00124,BKG000163,CUST00845,TURF045,4,Average experience,2024-04-24,Yes,No
REV00125,BKG009102,CUST02295,TURF005,4,Average experience,2026-05-30,Yes,Yes
REV00126,BKG005390,CUST02036,TURF035,5,Poor lighting,2024-09-10,Yes,No
REV00127,BKG006600,CUST01531,TURF042,5,Average experience,2025-03-28,Yes,Yes
REV00128,BKG002441,CUST01926,TURF035,4,Friendly staff,2024-06-28,Yes,Yes
REV00129,BKG004711,CUST00506,TURF002,2,Average experience,2024-04-21,No,No
REV00130,BKG001289,CUST00365,TURF031,5,Excellent surface quality,2025-09-13,Yes,Yes
REV00131,BKG002778,CUST00618,TURF026,4,Will book again,2026-06-06,Yes,Yes
REV00132,BKG009003,CUST01711,TURF031,5,Will book again,2025-05-06,Yes,Yes
REV00133,BKG007015,CUST02479,TURF014,4,Poor lighting,2024-06-12,Yes,No
REV00134,BKG001316,CUST00148,TURF037,4,Well maintained,2026-02-19,Yes,No
REV00135,BKG005572,CUST01319,TURF013,4,Value for money,2026-01-21,Yes,No
REV00136,BKG001244,CUST02156,TURF050,4,Average experience,2024-07-25,Yes,Yes
REV00137,BKG009338,CUST01475,TURF003,5,Clean facility,2026-03-25,Yes,No
REV00138,BKG003992,CUST01008,TURF014,4,Excellent surface quality,2025-04-27,Yes,No
REV00139,BKG004761,CUST01239,TURF001,5,Well maintained,2024-10-02,Yes,No
REV00140,BKG009340,CUST00738,TURF024,4,Well maintained,2025-08-14,Yes,No
REV00141,BKG000368,CUST00039,TURF031,2,Great experience,2024-12-20,No,Yes
REV00142,BKG003755,CUST01375,TURF030,2,Excellent surface quality,2024-01-06,No,Yes
REV00143,BKG002195,CUST01023,TURF044,2,Will book again,2024-03-01,No,No
REV00144,BKG006301,CUST01781,TURF033,2,Poor lighting,2025-12-25,Yes,No
REV00145,BKG005604,CUST00428,TURF035,4,Average experience,2025-06-11,Yes,No
REV00146,BKG007714,CUST00598,TURF003,5,Poor lighting,2026-01-07,Yes,No
REV00147,BKG006785,CUST00032,TURF019,5,Will book again,2025-07-13,Yes,No
REV00148,BKG006620,CUST00223,TURF036,2,Clean facility,2024-04-15,Yes,Yes
REV00149,BKG004788,CUST00912,TURF008,4,Friendly staff,2025-10-18,Yes,Yes
REV00150,BKG002300,CUST01858,TURF015,4,Crowded,2025-10-10,Yes,No
REV00151,BKG000391,CUST02008,TURF014,3,Clean facility,2026-01-06,No,Yes
REV00152,BKG006247,CUST00411,TURF009,5,Clean facility,2024-12-07,Yes,No
REV00153,BKG003461,CUST02114,TURF024,4,Excellent surface quality,2024-03-17,Yes,Yes
REV00154,BKG004348,CUST01720,TURF007,4,Value for money,2025-07-23,Yes,No
REV00155,BKG008007,CUST00111,TURF008,4,Poor lighting,2025-01-17,Yes,No
REV00156,BKG007882,CUST02228,TURF029,1,Great experience,2024-03-26,Yes,No
REV00157,BKG006100,CUST01669,TURF047,3,Poor lighting,2025-12-24,No,Yes
REV00158,BKG005825,CUST00572,TURF049,5,Average experience,2025-01-28,Yes,No
REV00159,BKG009976,CUST01112,TURF044,3,Excellent surface quality,2024-07-16,Yes,Yes
REV00160,BKG000312,CUST01779,TURF037,5,Clean facility,2024-06-12,Yes,No
REV00161,BKG004599,CUST01967,TURF049,4,Crowded,2026-05-19,Yes,No
REV00162,BKG006823,CUST01045,TURF048,5,Poor lighting,2024-01-08,Yes,No
REV00163,BKG002118,CUST01555,TURF025,3,Excellent surface quality,2024-08-27,Yes,Yes
REV00164,BKG007760,CUST02227,TURF038,5,Clean facility,2026-05-03,Yes,Yes
REV00165,BKG005196,CUST01706,TURF007,5,Crowded,2025-09-16,Yes,Yes
REV00166,BKG002391,CUST01594,TURF033,4,Poor lighting,2024-05-09,Yes,No
REV00167,BKG008394,CUST00346,TURF036,2,Well maintained,2025-01-29,Yes,No
REV00168,BKG007209,CUST01514,TURF017,5,Poor lighting,2024-10-18,Yes,No
REV00169,BKG001863,CUST00728,TURF006,4,Great experience,2025-02-20,Yes,No
REV00170,BKG001663,CUST01869,TURF039,4,Friendly staff,2024-08-22,Yes,Yes
REV00171,BKG009711,CUST01904,TURF046,5,Poor lighting,2026-04-13,Yes,No
REV00172,BKG006214,CUST00309,TURF031,5,Poor lighting,2024-04-17,Yes,Yes
REV00173,BKG005533,CUST01686,TURF031,5,Great experience,2024-12-27,Yes,No
REV00174,BKG002157,CUST00679,TURF039,4,Average experience,2024-04-11,Yes,No
REV00175,BKG001095,CUST00298,TURF039,4,Great experience,2026-03-06,Yes,No
REV00176,BKG006552,CUST00357,TURF021,5,Value for money,2024-01-18,Yes,Yes
REV00177,BKG001584,CUST00005,TURF001,5,Excellent surface quality,2025-01-30,Yes,No
REV00178,BKG006045,CUST00565,TURF003,2,Average experience,2026-05-17,No,No
REV00179,BKG004314,CUST02362,TURF032,5,Clean facility,2026-01-01,Yes,No
REV00180,BKG009383,CUST00097,TURF020,4,Crowded,2025-01-15,Yes,No
REV00181,BKG002818,CUST01328,TURF028,4,Excellent surface quality,2024-04-29,Yes,No
REV00182,BKG003395,CUST02367,TURF013,5,Value for money,2024-06-16,Yes,No
REV00183,BKG002340,CUST00566,TURF002,5,Clean facility,2025-05-08,Yes,Yes
REV00184,BKG008035,CUST00044,TURF044,2,Poor lighting,2024-12-07,Yes,No
REV00185,BKG007117,CUST00623,TURF041,4,Crowded,2025-08-11,Yes,No
REV00186,BKG009738,CUST01428,TURF045,5,Poor lighting,2026-01-21,Yes,No
REV00187,BKG002497,CUST00342,TURF028,4,Value for money,2024-10-02,Yes,No
REV00188,BKG005215,CUST01322,TURF029,5,Will book again,2026-03-26,Yes,Yes
REV00189,BKG001930,CUST01561,TURF037,4,Value for money,2026-04-11,Yes,No
REV00190,BKG007325,CUST01078,TURF050,4,Excellent surface quality,2024-05-17,Yes,No
REV00191,BKG001749,CUST00754,TURF019,5,Well maintained,2024-05-12,Yes,No
REV00192,BKG009039,CUST00284,TURF038,4,Poor lighting,2024-06-15,Yes,No
REV00193,BKG009104,CUST00518,TURF007,3,Average experience,2024-06-13,Yes,No
REV00194,BKG007734,CUST00610,TURF006,4,Will book again,2026-06-17,Yes,No
REV00195,BKG006028,CUST02217,TURF009,5,Average experience,2025-11-07,Yes,No
REV00196,BKG001126,CUST01758,TURF031,5,Will book again,2025-01-01,Yes,No
REV00197,BKG007577,CUST00292,TURF008,4,Poor lighting,2026-02-02,Yes,Yes
REV00198,BKG002919,CUST00068,TURF010,5,Great experience,2024-04-25,Yes,No
REV00199,BKG006542,CUST01768,TURF003,3,Crowded,2026-03-02,No,No
REV00200,BKG000656,CUST01060,TURF022,5,Clean facility,2025-01-09,Yes,No
REV00201,BKG004102,CUST00877,TURF003,5,Clean facility,2024-10-28,Yes,No
REV00202,BKG008246,CUST00320,TURF036,4,Poor lighting,2026-04-07,Yes,No
REV00203,BKG003593,CUST01373,TURF032,5,Will book again,2024-01-28,Yes,Yes
REV00204,BKG005504,CUST00474,TURF038,4,Great experience,2026-05-02,Yes,No
REV00205,BKG008248,CUST01767,TURF006,3,Clean facility,2025-09-05,No,No
REV00206,BKG004191,CUST02081,TURF024,4,Will book again,2026-04-23,Yes,No
REV00207,BKG007793,CUST00232,TURF007,4,Value for money,2026-03-02,Yes,No
REV00208,BKG000141,CUST02260,TURF050,5,Crowded,2025-11-12,Yes,No
REV00209,BKG001131,CUST00865,TURF033,4,Friendly staff,2025-11-27,Yes,No
REV00210,BKG007668,CUST02365,TURF016,2,Will book again,2025-03-23,Yes,Yes
REV00211,BKG009004,CUST00074,TURF038,5,Friendly staff,2024-09-09,Yes,No
REV00212,BKG001235,CUST02108,TURF006,5,Excellent surface quality,2026-03-12,Yes,Yes
REV00213,BKG004796,CUST02011,TURF033,4,Crowded,2025-11-14,Yes,Yes
REV00214,BKG000930,CUST00665,TURF005,4,Crowded,2024-12-28,Yes,Yes
REV00215,BKG006433,CUST01758,TURF020,3,Crowded,2025-12-01,No,Yes
REV00216,BKG001026,CUST00791,TURF010,5,Crowded,2024-01-05,Yes,No
REV00217,BKG008992,CUST02229,TURF050,2,Excellent surface quality,2024-10-16,Yes,No
REV00218,BKG008600,CUST00836,TURF021,2,Friendly staff,2024-09-18,Yes,No
REV00219,BKG004724,CUST01855,TURF035,2,Will book again,2024-04-10,No,No
REV00220,BKG003931,CUST00284,TURF035,3,Will book again,2025-06-06,No,Yes
REV00221,BKG002810,CUST01439,TURF042,3,Clean facility,2024-04-14,No,No
REV00222,BKG005398,CUST00717,TURF028,3,Value for money,2024-10-01,Yes,Yes
REV00223,BKG005884,CUST01952,TURF038,4,Poor lighting,2026-05-29,Yes,No
REV00224,BKG007262,CUST00079,TURF036,4,Value for money,2025-07-10,Yes,No
REV00225,BKG000481,CUST02123,TURF011,4,Poor lighting,2026-03-17,Yes,No
REV00226,BKG007283,CUST02108,TURF041,2,Friendly staff,2026-01-18,No,No
REV00227,BKG002882,CUST01362,TURF030,5,Friendly staff,2024-03-22,Yes,Yes
REV00228,BKG003102,CUST01931,TURF043,5,Friendly staff,2026-05-16,Yes,No
REV00229,BKG005349,CUST01731,TURF023,4,Excellent surface quality,2025-07-26,Yes,No
REV00230,BKG005086,CUST01913,TURF009,5,Crowded,2024-03-06,Yes,Yes
REV00231,BKG009985,CUST02305,TURF043,1,Well maintained,2025-09-09,Yes,No
REV00232,BKG004971,CUST01099,TURF024,4,Great experience,2026-02-25,Yes,No
REV00233,BKG006833,CUST02323,TURF015,3,Great experience,2025-07-09,No,No
REV00234,BKG007507,CUST02079,TURF045,4,Well maintained,2024-11-26,Yes,No
REV00235,BKG000275,CUST00609,TURF020,1,Crowded,2025-11-07,No,No
REV00236,BKG009484,CUST01716,TURF026,5,Will book again,2024-03-14,Yes,No
REV00237,BKG004652,CUST01871,TURF041,4,Poor lighting,2024-09-29,Yes,Yes
REV00238,BKG006845,CUST00118,TURF020,5,Great experience,2025-12-04,Yes,Yes
REV00239,BKG005458,CUST01587,TURF006,5,Excellent surface quality,2025-02-24,Yes,No
REV00240,BKG006161,CUST00073,TURF044,2,Value for money,2025-12-13,Yes,No
REV00241,BKG000642,CUST01553,TURF047,5,Well maintained,2025-06-27,Yes,No
REV00242,BKG009417,CUST01005,TURF002,3,Friendly staff,2024-07-31,Yes,No
REV00243,BKG007008,CUST02337,TURF005,5,Excellent surface quality,2024-03-23,Yes,No
REV00244,BKG004127,CUST00293,TURF036,5,Clean facility,2025-11-13,Yes,No
REV00245,BKG005498,CUST00490,TURF013,4,Value for money,2026-06-14,Yes,No
REV00246,BKG002457,CUST01513,TURF039,5,Poor lighting,2024-06-12,Yes,No
REV00247,BKG004254,CUST02171,TURF022,5,Will book again,2025-11-25,Yes,No
REV00248,BKG009288,CUST01487,TURF035,4,Great experience,2024-10-31,Yes,No
REV00249,BKG001731,CUST02068,TURF039,4,Will book again,2026-01-25,Yes,Yes
REV00250,BKG001109,CUST00755,TURF046,5,Great experience,2025-08-08,Yes,No
REV00251,BKG008087,CUST00719,TURF011,4,Well maintained,2026-02-23,Yes,No
REV00252,BKG003473,CUST02294,TURF024,1,Great experience,2024-01-28,Yes,No
REV00253,BKG007925,CUST02165,TURF004,2,Excellent surface quality,2024-04-30,Yes,No
REV00254,BKG002360,CUST02394,TURF008,5,Crowded,2026-01-08,Yes,Yes
REV00255,BKG005985,CUST02368,TURF025,2,Crowded,2026-01-14,No,No
REV00256,BKG001318,CUST00377,TURF037,4,Will book again,2025-11-02,Yes,Yes
REV00257,BKG004368,CUST00855,TURF001,4,Average experience,2025-06-26,Yes,No
REV00258,BKG000150,CUST00738,TURF022,3,Value for money,2024-07-28,Yes,Yes
REV00259,BKG007070,CUST01878,TURF021,4,Clean facility,2026-02-19,Yes,No
REV00260,BKG000496,CUST01216,TURF026,5,Value for money,2024-12-20,Yes,No
REV00261,BKG007058,CUST00649,TURF043,4,Well maintained,2024-03-22,Yes,No
REV00262,BKG005962,CUST00427,TURF026,4,Average experience,2024-02-11,Yes,No
REV00263,BKG006810,CUST01538,TURF047,5,Poor lighting,2025-11-24,Yes,No
REV00264,BKG004020,CUST01743,TURF019,2,Average experience,2024-10-15,No,Yes
REV00265,BKG005805,CUST01387,TURF017,5,Clean facility,2025-10-31,Yes,Yes
REV00266,BKG004732,CUST01329,TURF003,5,Well maintained,2026-02-23,Yes,No
REV00267,BKG001893,CUST00881,TURF024,4,Great experience,2025-01-07,Yes,No
REV00268,BKG008386,CUST01987,TURF022,4,Well maintained,2024-12-15,Yes,Yes
REV00269,BKG007834,CUST01254,TURF020,5,Excellent surface quality,2025-02-27,Yes,No
REV00270,BKG002374,CUST02128,TURF005,3,Value for money,2024-07-12,No,No
REV00271,BKG002630,CUST02150,TURF048,4,Average experience,2024-10-26,Yes,No
REV00272,BKG003494,CUST00749,TURF027,4,Friendly staff,2025-10-09,Yes,No
REV00273,BKG003610,CUST00672,TURF016,4,Will book again,2024-10-26,Yes,No
REV00274,BKG005239,CUST01218,TURF021,3,Well maintained,2025-12-19,No,Yes
REV00275,BKG002321,CUST00429,TURF018,3,Clean facility,2025-06-12,No,Yes
REV00276,BKG005565,CUST01678,TURF028,4,Value for money,2025-02-17,Yes,No
REV00277,BKG009117,CUST00742,TURF034,4,Crowded,2024-03-17,Yes,No
REV00278,BKG000703,CUST01628,TURF018,4,Great experience,2025-12-05,Yes,No
REV00279,BKG005602,CUST01598,TURF009,5,Friendly staff,2025-11-16,Yes,No
REV00280,BKG001270,CUST01964,TURF025,5,Excellent surface quality,2025-10-27,Yes,Yes
REV00281,BKG009036,CUST00485,TURF006,5,Poor lighting,2025-01-30,Yes,No
REV00282,BKG007212,CUST00223,TURF036,5,Will book again,2025-02-18,Yes,Yes
REV00283,BKG006655,CUST02433,TURF032,4,Value for money,2025-04-28,Yes,Yes
REV00284,BKG002017,CUST00250,TURF020,5,Poor lighting,2025-01-04,Yes,No
REV00285,BKG004579,CUST00053,TURF024,3,Friendly staff,2024-03-28,No,No
REV00286,BKG009810,CUST00754,TURF050,4,Clean facility,2024-01-10,Yes,No
REV00287,BKG004141,CUST01546,TURF029,5,Value for money,2025-08-16,Yes,No
REV00288,BKG009782,CUST01533,TURF011,4,Well maintained,2025-03-28,Yes,No
REV00289,BKG004721,CUST01128,TURF036,5,Poor lighting,2025-09-21,Yes,No
REV00290,BKG004369,CUST01938,TURF011,5,Great experience,2026-04-17,Yes,Yes
REV00291,BKG008097,CUST00133,TURF023,4,Poor lighting,2025-08-26,Yes,No
REV00292,BKG008672,CUST02274,TURF016,5,Crowded,2025-12-02,Yes,No
REV00293,BKG005141,CUST00121,TURF007,4,Friendly staff,2026-03-27,Yes,No
REV00294,BKG009361,CUST01979,TURF031,3,Will book again,2026-06-14,No,No
REV00295,BKG008512,CUST00307,TURF026,5,Great experience,2026-05-11,Yes,Yes
REV00296,BKG006186,CUST02296,TURF039,5,Poor lighting,2025-12-31,Yes,Yes
REV00297,BKG005314,CUST02389,TURF046,5,Well maintained,2025-07-17,Yes,No
REV00298,BKG006919,CUST01963,TURF015,5,Poor lighting,2025-12-09,Yes,Yes
REV00299,BKG001581,CUST00326,TURF050,5,Great experience,2024-06-26,Yes,Yes
REV00300,BKG005889,CUST02454,TURF008,4,Excellent surface quality,2024-10-14,Yes,Yes
REV00301,BKG006323,CUST00881,TURF014,5,Great experience,2024-02-15,Yes,No
REV00302,BKG003597,CUST01135,TURF020,4,Well maintained,2024-01-19,Yes,Yes
REV00303,BKG004319,CUST01506,TURF035,5,Excellent surface quality,2024-08-17,Yes,No
REV00304,BKG007976,CUST00234,TURF033,5,Clean facility,2024-09-26,Yes,No
REV00305,BKG000524,CUST01992,TURF023,4,Well maintained,2026-04-25,Yes,No
REV00306,BKG007983,CUST00888,TURF003,4,Great experience,2024-01-17,Yes,Yes
REV00307,BKG006382,CUST00059,TURF039,5,Average experience,2024-06-21,Yes,Yes
REV00308,BKG000733,CUST01948,TURF023,5,Value for money,2025-12-10,Yes,No
REV00309,BKG002792,CUST01678,TURF044,5,Well maintained,2025-11-05,Yes,No
REV00310,BKG007856,CUST01039,TURF008,5,Crowded,2025-07-22,Yes,No
REV00311,BKG009440,CUST02030,TURF034,4,Great experience,2024-06-13,Yes,Yes
REV00312,BKG001303,CUST01824,TURF025,5,Excellent surface quality,2026-03-13,Yes,No
REV00313,BKG003077,CUST00025,TURF035,4,Excellent surface quality,2025-12-18,Yes,No
REV00314,BKG009183,CUST00174,TURF020,5,Poor lighting,2026-05-03,Yes,No
REV00315,BKG003591,CUST02289,TURF018,4,Well maintained,2025-09-30,Yes,Yes
REV00316,BKG000140,CUST00781,TURF038,5,Value for money,2025-07-04,Yes,Yes
REV00317,BKG007966,CUST02483,TURF023,5,Poor lighting,2025-02-03,Yes,No
REV00318,BKG004126,CUST00044,TURF040,5,Excellent surface quality,2025-02-28,Yes,Yes
REV00319,BKG005681,CUST01030,TURF035,4,Average experience,2024-11-25,Yes,Yes
