CancellationID,BookingID,CustomerID,CancellationDate,Reason,CancelledBy,RefundPercentage,RefundAmount,RefundStatus
CNL00077,BKG000681,CUST01997,2026-05-24,Weather Conditions,Customer,0,0,Not Applicable
CNL00078,BKG000688,CUST00805,2025-12-03,Weather Conditions,Turf Owner,0,0,Not Applicable
CNL00079,BKG000701,CUST01490,2025-01-13,Power Outage,Customer,100,2500,Processed
CNL00080,BKG000703,CUST01628,2025-11-30,Staff Unavailability,Customer,0,0,Processed
CNL00081,BKG000708,CUST01372,2024-12-18,Turf Maintenance,System,50,600,Processed
CNL00082,BKG000709,CUST01409,2024-04-30,Customer Request,Customer,0,0,Not Applicable
CNL00083,BKG000716,CUST01330,2024-11-30,Double Booking Error,Customer,0,0,Processed
CNL00084,BKG000720,CUST01216,2024-07-03,Personal Emergency,Customer,50,1250,Not Applicable
CNL00085,BKG000741,CUST00690,2025-10-25,Payment Failure,System,100,1000,Not Applicable
CNL00086,BKG000748,CUST01467,2024-05-18,Payment Failure,Customer,100,1200,Processed
CNL00087,BKG000767,CUST01070,2025-07-20,Power Outage,Customer,75,750,Processed
CNL00088,BKG000772,CUST02283,2026-02-27,Personal Emergency,System,75,1875,Processed
CNL00089,BKG000782,CUST00578,2024-08-08,Personal Emergency,Customer,0,0,Processed
CNL00090,BKG000801,CUST01532,2025-06-26,Staff Unavailability,Customer,100,2500,Not Applicable
CNL00091,BKG000802,CUST02304,2026-04-23,Personal Emergency,Turf Owner,0,0,Not Applicable
CNL00092,BKG000811,CUST00399,2024-03-26,Power Outage,Turf Owner,50,750,Not Applicable
CNL00093,BKG000818,CUST00039,2025-06-26,Power Outage,Turf Owner,100,2000,Processed
CNL00094,BKG000819,CUST00721,2024-10-27,Customer Request,System,25,250,Not Applicable
CNL00095,BKG000821,CUST01861,2024-09-13,Staff Unavailability,Turf Owner,50,1250,Not Applicable
CNL00096,BKG000847,CUST01234,2024-07-21,Double Booking Error,Customer,25,375,Processed
CNL00097,BKG000862,CUST00042,2024-08-16,Staff Unavailability,Customer,75,1875,Not Applicable
CNL00098,BKG000865,CUST01954,2026-05-20,Personal Emergency,Customer,75,1500,Processed
CNL00099,BKG000866,CUST01191,2024-08-10,Weather Conditions,Customer,75,600,Processed
CNL00100,BKG000876,CUST00614,2024-01-14,Double Booking Error,Turf Owner,0,0,Processed
CNL00101,BKG000880,CUST00695,2024-01-24,Turf Maintenance,System,75,1500,Processed
CNL00102,BKG000884,CUST01035,2025-01-14,Staff Unavailability,Customer,25,375,Processed
CNL00103,BKG000889,CUST01212,2025-09-05,Weather Conditions,Customer,75,1875,Pending
CNL00104,BKG000891,CUST00515,2026-02-01,Turf Maintenance,System,75,1350,Processed
CNL00105,BKG000893,CUST01314,2025-03-18,Double Booking Error,Turf Owner,25,375,Not Applicable
CNL00106,BKG000895,CUST01149,2024-11-24,Turf Maintenance,System,50,750,Processed
CNL00107,BKG000900,CUST02126,2025-03-21,Personal Emergency,System,0,0,Processed
CNL00108,BKG000912,CUST01471,2024-06-16,Weather Conditions,Turf Owner,50,500,Not Applicable
CNL00109,BKG000915,CUST00582,2024-03-15,Customer Request,Customer,50,600,Processed
CNL00110,BKG000917,CUST00567,2024-12-14,Double Booking Error,Turf Owner,75,600,Processed
CNL00111,BKG000926,CUST02382,2024-03-10,Staff Unavailability,Turf Owner,25,300,Processed
CNL00112,BKG000933,CUST02343,2026-04-11,Double Booking Error,System,50,500,Processed
CNL00113,BKG000944,CUST01076,2025-09-07,Weather Conditions,Customer,25,375,Processed
CNL00114,BKG000966,CUST01751,2025-05-02,Double Booking Error,Customer,100,800,Processed
CNL00115,BKG000978,CUST01539,2024-05-04,Weather Conditions,Turf Owner,100,2000,Processed
CNL00116,BKG000983,CUST01168,2024-08-27,Staff Unavailability,Customer,0,0,Processed
CNL00117,BKG000989,CUST02250,2025-02-05,Staff Unavailability,Customer,25,375,Pending
CNL00118,BKG001004,CUST00653,2025-07-18,Power Outage,System,100,1500,Processed
CNL00119,BKG001017,CUST01937,2024-10-31,Personal Emergency,Turf Owner,100,1500,Not Applicable
CNL00120,BKG001033,CUST01711,2026-04-06,Turf Maintenance,Customer,0,0,Processed
CNL00121,BKG001037,CUST02002,2025-08-25,Weather Conditions,Customer,75,1125,Processed
CNL00122,BKG001050,CUST00418,2024-04-10,Power Outage,System,75,600,Pending
CNL00123,BKG001055,CUST01656,2026-04-24,Power Outage,Customer,75,750,Pending
CNL00124,BKG001073,CUST01862,2025-03-20,Double Booking Error,Customer,0,0,Processed
CNL00125,BKG001075,CUST02400,2025-03-12,Turf Maintenance,Turf Owner,25,375,Processed
CNL00126,BKG001080,CUST01101,2025-02-27,Turf Maintenance,Turf Owner,0,0,Processed
CNL00127,BKG001090,CUST00394,2024-08-02,Weather Conditions,System,0,0,Processed
CNL00128,BKG001095,CUST00298,2026-03-04,Double Booking Error,System,50,1250,Not Applicable
CNL00129,BKG001108,CUST01307,2025-03-18,Power Outage,Customer,100,1000,Processed
CNL00130,BKG001112,CUST00632,2025-04-04,Weather Conditions,Customer,75,750,Processed
CNL00131,BKG001119,CUST01057,2025-03-30,Turf Maintenance,Customer,0,0,Not Applicable
CNL00132,BKG001124,CUST01761,2025-09-25,Customer Request,System,75,750,Processed
CNL00133,BKG001125,CUST02313,2026-04-24,Payment Failure,Customer,25,500,Not Applicable
CNL00134,BKG001132,CUST00336,2025-07-14,Power Outage,Turf Owner,25,250,Pending
CNL00135,BKG001137,CUST00693,2024-04-10,Double Booking Error,Customer,100,1000,Pending
CNL00136,BKG001139,CUST01707,2026-05-19,Personal Emergency,Turf Owner,50,500,Processed
CNL00137,BKG001143,CUST01564,2025-10-21,Staff Unavailability,Turf Owner,100,1000,Processed
CNL00138,BKG001163,CUST01116,2024-07-05,Payment Failure,Customer,75,900,Not Applicable
CNL00139,BKG001172,CUST01481,2026-05-10,Personal Emergency,System,50,750,Processed
CNL00140,BKG001179,CUST02235,2024-03-08,Payment Failure,Customer,25,500,Not Applicable
CNL00141,BKG001180,CUST00694,2025-06-27,Customer Request,Customer,25,200,Processed
CNL00142,BKG001191,CUST00552,2026-01-09,Staff Unavailability,System,50,750,Processed
CNL00143,BKG001197,CUST01999,2025-02-04,Personal Emergency,System,75,600,Processed
CNL00144,BKG001214,CUST00673,2025-08-21,Double Booking Error,System,100,800,Not Applicable
CNL00145,BKG001217,CUST01264,2025-08-15,Staff Unavailability,Turf Owner,50,1250,Not Applicable
CNL00146,BKG001226,CUST02132,2024-10-13,Staff Unavailability,Customer,0,0,Pending
CNL00147,BKG001245,CUST02181,2025-02-19,Power Outage,Customer,25,250,Processed
CNL00148,BKG001258,CUST00608,2025-05-19,Staff Unavailability,Customer,25,250,Processed
CNL00149,BKG001261,CUST02188,2024-08-08,Staff Unavailability,Turf Owner,50,1000,Not Applicable
CNL00150,BKG001262,CUST01317,2024-11-19,Turf Maintenance,System,75,1125,Processed
CNL00151,BKG001268,CUST02409,2024-03-22,Customer Request,Customer,0,0,Processed
CNL00152,BKG001271,CUST02176,2026-01-17,Double Booking Error,System,50,400,Pending
CNL00153,BKG001284,CUST01838,2025-06-09,Personal Emergency,Turf Owner,50,900,Processed
CNL00154,BKG001289,CUST00365,2025-09-10,Turf Maintenance,Customer,50,1000,Processed
CNL00155,BKG001290,CUST02500,2025-03-03,Payment Failure,Customer,75,750,Not Applicable
CNL00156,BKG001295,CUST01874,2025-05-09,Personal Emergency,System,25,300,Processed
CNL00157,BKG001298,CUST00412,2025-11-02,Double Booking Error,System,0,0,Not Applicable
CNL00158,BKG001300,CUST01922,2024-01-29,Payment Failure,Customer,25,375,Processed
CNL00159,BKG001311,CUST02134,2025-03-02,Weather Conditions,System,50,1000,Pending
CNL00160,BKG001313,CUST01913,2024-01-23,Personal Emergency,Turf Owner,0,0,Not Applicable
CNL00161,BKG001317,CUST01598,2024-12-08,Payment Failure,System,50,400,Processed
CNL00162,BKG001324,CUST02448,2025-07-13,Staff Unavailability,Customer,75,900,Processed
CNL00163,BKG001326,CUST01327,2025-09-16,Double Booking Error,System,25,375,Processed
CNL00164,BKG001328,CUST02282,2026-06-10,Double Booking Error,System,75,1875,Processed
CNL00165,BKG001334,CUST01639,2024-01-26,Personal Emergency,Customer,25,300,Processed
CNL00166,BKG001340,CUST02090,2026-06-16,Power Outage,System,75,750,Processed
CNL00167,BKG001346,CUST00515,2025-01-17,Double Booking Error,Customer,0,0,Processed
CNL00168,BKG001349,CUST00810,2025-07-23,Double Booking Error,Turf Owner,75,1500,Processed
CNL00169,BKG001351,CUST00253,2025-01-14,Customer Request,Turf Owner,100,1200,Not Applicable
CNL00170,BKG001353,CUST01583,2024-09-27,Customer Request,System,75,900,Processed
CNL00171,BKG001354,CUST01431,2025-09-28,Personal Emergency,System,50,1250,Not Applicable
CNL00172,BKG001364,CUST00266,2025-06-08,Customer Request,Customer,0,0,Processed
CNL00173,BKG001365,CUST00895,2025-07-12,Turf Maintenance,System,0,0,Processed
CNL00174,BKG001376,CUST01248,2025-02-03,Turf Maintenance,System,100,1200,Pending
CNL00175,BKG001403,CUST01787,2025-01-12,Turf Maintenance,Turf Owner,75,1125,Not Applicable
CNL00176,BKG001420,CUST02049,2024-05-03,Payment Failure,Customer,25,250,Processed
CNL00177,BKG001425,CUST01917,2024-07-27,Weather Conditions,System,75,750,Processed
CNL00178,BKG001428,CUST00159,2024-09-29,Staff Unavailability,Customer,25,200,Processed
CNL00179,BKG001433,CUST01818,2025-06-03,Staff Unavailability,Customer,100,2500,Processed
CNL00180,BKG001436,CUST02458,2026-05-31,Staff Unavailability,Turf Owner,75,600,Processed
CNL00181,BKG001441,CUST01139,2025-10-03,Power Outage,Customer,25,375,Processed
CNL00182,BKG001445,CUST00333,2023-12-31,Payment Failure,Customer,75,1125,Processed
CNL00183,BKG001451,CUST01152,2024-01-15,Payment Failure,Turf Owner,25,500,Processed
CNL00184,BKG001456,CUST00957,2025-09-02,Payment Failure,Customer,50,1250,Processed
CNL00185,BKG001460,CUST01195,2025-01-30,Weather Conditions,System,25,375,Processed
CNL00186,BKG001489,CUST02497,2024-02-15,Double Booking Error,Turf Owner,25,450,Processed
CNL00187,BKG001493,CUST01521,2024-07-09,Payment Failure,Customer,100,1000,Processed
CNL00188,BKG001497,CUST02242,2025-08-11,Payment Failure,System,100,1500,Processed
CNL00189,BKG001510,CUST02152,2025-12-24,Power Outage,System,50,900,Not Applicable
CNL00190,BKG001518,CUST02189,2026-06-14,Double Booking Error,Turf Owner,75,750,Processed
CNL00191,BKG001520,CUST01904,2025-05-14,Double Booking Error,System,100,1200,Not Applicable
CNL00192,BKG001524,CUST02324,2026-05-06,Weather Conditions,Customer,100,1500,Not Applicable
CNL00193,BKG001528,CUST02265,2024-11-24,Double Booking Error,Turf Owner,50,750,Processed
CNL00194,BKG001535,CUST00651,2024-06-24,Turf Maintenance,Customer,50,600,Processed
CNL00195,BKG001539,CUST02025,2025-08-19,Power Outage,System,25,300,Processed
CNL00196,BKG001544,CUST01956,2025-10-07,Personal Emergency,Turf Owner,0,0,Pending
CNL00197,BKG001546,CUST01378,2026-04-18,Staff Unavailability,Customer,100,1000,Not Applicable
CNL00198,BKG001565,CUST02420,2024-01-24,Customer Request,System,25,375,Pending
CNL00199,BKG001572,CUST01567,2025-12-26,Personal Emergency,Customer,75,1125,Processed
CNL00200,BKG001577,CUST02488,2024-02-22,Payment Failure,System,0,0,Processed
CNL00201,BKG001589,CUST00577,2025-10-18,Staff Unavailability,Turf Owner,100,1200,Processed
CNL00202,BKG001595,CUST00179,2025-03-22,Weather Conditions,Customer,100,1000,Processed
CNL00203,BKG001617,CUST02034,2024-03-09,Turf Maintenance,Turf Owner,25,250,Pending
CNL00204,BKG001621,CUST01623,2025-03-23,Staff Unavailability,System,25,375,Pending
CNL00205,BKG001647,CUST02432,2024-05-18,Staff Unavailability,System,75,750,Processed
CNL00206,BKG001658,CUST02491,2024-12-04,Turf Maintenance,Customer,0,0,Not Applicable
CNL00207,BKG001661,CUST00858,2025-11-11,Turf Maintenance,Customer,25,250,Processed
CNL00208,BKG001673,CUST00077,2025-07-16,Staff Unavailability,System,50,1250,Processed
CNL00209,BKG001682,CUST00220,2025-07-26,Customer Request,System,50,500,Pending
CNL00210,BKG001692,CUST00877,2025-01-11,Payment Failure,Customer,50,750,Pending
CNL00211,BKG001702,CUST01352,2025-07-14,Payment Failure,Customer,25,625,Processed
CNL00212,BKG001704,CUST01945,2025-04-06,Weather Conditions,System,50,400,Processed
CNL00213,BKG001716,CUST02088,2024-10-23,Weather Conditions,Turf Owner,100,2500,Pending
CNL00214,BKG001718,CUST02063,2024-10-01,Payment Failure,Customer,100,2500,Processed
CNL00215,BKG001761,CUST01515,2025-08-31,Payment Failure,System,25,250,Not Applicable
CNL00216,BKG001765,CUST01375,2026-03-23,Personal Emergency,System,75,1350,Processed
CNL00217,BKG001768,CUST00080,2024-08-06,Turf Maintenance,Turf Owner,25,200,Processed
CNL00218,BKG001772,CUST01015,2024-02-11,Payment Failure,Customer,50,1000,Not Applicable
CNL00219,BKG001775,CUST00757,2025-06-27,Turf Maintenance,Turf Owner,0,0,Processed
CNL00220,BKG001782,CUST02460,2024-06-18,Double Booking Error,Customer,50,750,Processed
CNL00221,BKG001788,CUST00238,2026-01-08,Personal Emergency,Turf Owner,25,250,Processed
CNL00222,BKG001792,CUST01751,2024-09-24,Double Booking Error,System,75,900,Pending
CNL00223,BKG001795,CUST01159,2025-05-04,Staff Unavailability,System,25,250,Processed
CNL00224,BKG001796,CUST00960,2026-06-01,Double Booking Error,System,75,1500,Not Applicable
CNL00225,BKG001797,CUST00680,2024-04-23,Power Outage,System,25,500,Processed
CNL00226,BKG001813,CUST01662,2025-07-25,Payment Failure,System,50,1250,Processed
CNL00227,BKG001828,CUST00351,2026-06-09,Double Booking Error,Turf Owner,50,1250,Not Applicable
CNL00228,BKG001829,CUST00508,2025-06-21,Staff Unavailability,System,100,1800,Processed
CNL00229,BKG001847,CUST01252,2024-04-07,Turf Maintenance,System,100,1500,Processed
CNL00230,BKG001852,CUST00811,2025-07-11,Weather Conditions,Turf Owner,0,0,Processed
CNL00231,BKG001853,CUST00065,2024-06-09,Personal Emergency,Turf Owner,75,1875,Processed
CNL00232,BKG001868,CUST01924,2026-04-08,Staff Unavailability,Turf Owner,50,750,Processed
CNL00233,BKG001875,CUST01902,2025-01-10,Weather Conditions,System,25,250,Processed
CNL00234,BKG001885,CUST01572,2023-12-31,Power Outage,Customer,25,450,Processed
CNL00235,BKG001894,CUST01510,2024-02-13,Payment Failure,System,0,0,Processed
CNL00236,BKG001903,CUST02160,2024-08-27,Staff Unavailability,Turf Owner,100,1800,Processed
CNL00237,BKG001915,CUST00734,2024-03-15,Turf Maintenance,Customer,0,0,Processed
CNL00238,BKG001917,CUST00177,2024-11-30,Turf Maintenance,Turf Owner,50,1250,Pending
CNL00239,BKG001918,CUST01815,2024-06-07,Payment Failure,Customer,75,1125,Not Applicable
CNL00240,BKG001930,CUST01561,2026-04-08,Power Outage,Customer,0,0,Processed
CNL00241,BKG001931,CUST01552,2025-09-13,Power Outage,System,50,750,Processed
CNL00242,BKG001932,CUST00727,2025-04-21,Power Outage,Customer,25,250,Processed
CNL00243,BKG001938,CUST00540,2024-05-29,Staff Unavailability,System,75,600,Processed
CNL00244,BKG001945,CUST01073,2024-12-24,Double Booking Error,System,75,1500,Not Applicable
CNL00245,BKG001957,CUST00294,2024-12-07,Staff Unavailability,Turf Owner,75,600,Processed
CNL00246,BKG001963,CUST00264,2024-05-07,Personal Emergency,System,25,250,Processed
CNL00247,BKG001970,CUST00008,2025-05-21,Personal Emergency,Customer,0,0,Pending
CNL00248,BKG001987,CUST00950,2025-02-20,Customer Request,Turf Owner,0,0,Processed
CNL00249,BKG001989,CUST00705,2025-01-16,Power Outage,Turf Owner,0,0,Processed
CNL00250,BKG002001,CUST02137,2025-05-29,Turf Maintenance,Turf Owner,75,750,Processed
CNL00251,BKG002010,CUST01342,2026-01-23,Power Outage,System,75,900,Pending
CNL00252,BKG002015,CUST00945,2024-06-20,Power Outage,Customer,0,0,Not Applicable
CNL00253,BKG002017,CUST00250,2025-01-02,Personal Emergency,Turf Owner,0,0,Processed
CNL00254,BKG002035,CUST01573,2026-04-22,Weather Conditions,Turf Owner,50,750,Processed
CNL00255,BKG002040,CUST00633,2026-03-08,Double Booking Error,System,75,750,Processed
CNL00256,BKG002048,CUST01642,2025-11-08,Power Outage,Turf Owner,0,0,Pending
CNL00257,BKG002055,CUST01189,2025-03-21,Customer Request,System,100,2500,Processed
CNL00258,BKG002057,CUST00589,2025-01-14,Payment Failure,Turf Owner,25,250,Processed
CNL00259,BKG002060,CUST02065,2024-02-01,Customer Request,Customer,100,1000,Processed
CNL00260,BKG002066,CUST01608,2025-03-23,Customer Request,Customer,75,1125,Processed
CNL00261,BKG002078,CUST00390,2024-04-14,Payment Failure,System,50,1000,Processed
CNL00262,BKG002081,CUST01561,2025-04-05,Payment Failure,Turf Owner,100,800,Processed
CNL00263,BKG002098,CUST00937,2025-09-06,Personal Emergency,System,100,1800,Not Applicable
CNL00264,BKG002107,CUST02243,2024-08-04,Customer Request,Turf Owner,75,1350,Processed
CNL00265,BKG002115,CUST00289,2025-07-30,Payment Failure,Customer,25,250,Processed
CNL00266,BKG002122,CUST02003,2025-12-05,Customer Request,Customer,50,750,Pending
CNL00267,BKG002125,CUST00871,2024-05-20,Staff Unavailability,Customer,25,625,Pending
CNL00268,BKG002134,CUST01828,2025-08-31,Power Outage,System,50,1250,Not Applicable
CNL00269,BKG002137,CUST01439,2025-05-31,Payment Failure,Customer,100,1000,Processed
CNL00270,BKG002138,CUST00334,2024-03-03,Staff Unavailability,System,100,2500,Processed
CNL00271,BKG002141,CUST00250,2024-08-06,Customer Request,Turf Owner,0,0,Processed
CNL00272,BKG002148,CUST00335,2024-10-07,Double Booking Error,Turf Owner,100,1500,Processed
CNL00273,BKG002165,CUST01674,2026-04-05,Staff Unavailability,System,0,0,Not Applicable
CNL00274,BKG002180,CUST02360,2024-07-05,Personal Emergency,Customer,0,0,Pending
CNL00275,BKG002181,CUST02071,2024-06-28,Personal Emergency,System,75,1125,Not Applicable
CNL00276,BKG002196,CUST00544,2024-02-15,Customer Request,System,25,250,Processed
CNL00277,BKG002198,CUST01049,2025-10-27,Staff Unavailability,System,50,750,Processed
CNL00278,BKG002206,CUST01336,2025-09-23,Customer Request,Customer,0,0,Processed
CNL00279,BKG002207,CUST00474,2025-09-01,Weather Conditions,Turf Owner,0,0,Processed
CNL00280,BKG002229,CUST01778,2024-09-04,Weather Conditions,Turf Owner,25,250,Processed
CNL00281,BKG002231,CUST00808,2024-12-22,Double Booking Error,Turf Owner,75,600,Processed
CNL00282,BKG002238,CUST00158,2024-01-07,Payment Failure,System,25,500,Processed
CNL00283,BKG002239,CUST00712,2025-06-02,Staff Unavailability,System,25,625,Processed
CNL00284,BKG002250,CUST00885,2026-05-04,Personal Emergency,Turf Owner,50,400,Not Applicable
CNL00285,BKG002260,CUST02310,2024-03-24,Weather Conditions,Customer,50,500,Not Applicable
CNL00286,BKG002261,CUST00173,2024-08-08,Personal Emergency,Customer,25,250,Not Applicable
CNL00287,BKG002292,CUST01558,2024-01-07,Double Booking Error,Turf Owner,75,1125,Not Applicable
CNL00288,BKG002294,CUST02383,2024-07-01,Customer Request,Turf Owner,100,2500,Processed
CNL00289,BKG002305,CUST01905,2024-04-25,Power Outage,Turf Owner,100,1500,Not Applicable
CNL00290,BKG002306,CUST00974,2025-12-26,Weather Conditions,Turf Owner,100,1500,Processed
CNL00291,BKG002308,CUST01024,2025-07-02,Staff Unavailability,System,0,0,Not Applicable
CNL00292,BKG002320,CUST00421,2026-04-16,Double Booking Error,System,0,0,Pending
CNL00293,BKG002326,CUST01260,2024-03-29,Turf Maintenance,Turf Owner,75,1125,Processed
CNL00294,BKG002335,CUST00009,2025-02-02,Payment Failure,Customer,50,1250,Not Applicable
CNL00295,BKG002336,CUST01177,2024-03-23,Double Booking Error,Turf Owner,50,600,Processed
CNL00296,BKG002342,CUST00977,2024-07-08,Staff Unavailability,Turf Owner,50,500,Pending
CNL00297,BKG002348,CUST01413,2024-09-01,Personal Emergency,System,100,1000,Processed
CNL00298,BKG002370,CUST00282,2024-03-03,Customer Request,Turf Owner,25,625,Processed
CNL00299,BKG002377,CUST02078,2026-05-11,Personal Emergency,Customer,50,750,Processed
CNL00300,BKG002393,CUST00766,2026-05-02,Turf Maintenance,Customer,25,300,Not Applicable
CNL00301,BKG002402,CUST01861,2024-10-19,Turf Maintenance,System,25,375,Processed
CNL00302,BKG002410,CUST01336,2026-04-27,Weather Conditions,Customer,50,500,Not Applicable
