SlotID,TurfID,SlotDate,StartTime,EndTime,DayOfWeek,Price,IsPeakHour,Status
SLOT000098,TURF027,2024-05-08,20:00,21:00,Wednesday,1800,Yes,Available
SLOT000099,TURF028,2025-03-25,19:00,20:00,Tuesday,1500,Yes,Available
SLOT000100,TURF022,2025-06-02,09:00,10:00,Monday,1800,No,Available
SLOT000101,TURF019,2026-02-19,20:00,21:00,Thursday,1000,Yes,Available
SLOT000102,TURF030,2026-02-09,10:00,11:00,Monday,2500,No,Blocked
SLOT000103,TURF019,2024-10-01,12:00,13:00,Tuesday,1000,No,Available
SLOT000104,TURF013,2025-03-03,17:00,18:00,Monday,1500,No,Available
SLOT000105,TURF032,2024-06-09,19:00,20:00,Sunday,800,Yes,Booked
SLOT000106,TURF046,2026-04-14,06:00,07:00,Tuesday,800,No,Available
SLOT000107,TURF022,2024-08-23,19:00,20:00,Friday,1800,Yes,Available
SLOT000108,TURF042,2025-05-28,11:00,12:00,Wednesday,1500,No,Booked
SLOT000109,TURF005,2025-02-10,12:00,13:00,Monday,1200,No,Available
SLOT000110,TURF031,2025-04-05,06:00,07:00,Saturday,2000,No,Booked
SLOT000111,TURF020,2024-02-12,13:00,14:00,Monday,1500,No,Booked
SLOT000112,TURF007,2025-10-31,09:00,10:00,Friday,1500,No,Booked
SLOT000113,TURF007,2025-02-11,14:00,15:00,Tuesday,1500,No,Booked
SLOT000114,TURF001,2024-06-10,19:00,20:00,Monday,1000,Yes,Booked
SLOT000115,TURF004,2026-06-08,13:00,14:00,Monday,1000,No,Booked
SLOT000116,TURF045,2026-01-25,17:00,18:00,Sunday,2500,No,Blocked
SLOT000117,TURF005,2024-04-22,14:00,15:00,Monday,1200,No,Available
SLOT000118,TURF043,2026-07-04,21:00,22:00,Saturday,1500,Yes,Booked
SLOT000119,TURF007,2025-01-03,13:00,14:00,Friday,1500,No,Booked
SLOT000120,TURF006,2026-05-30,08:00,09:00,Saturday,1500,No,Booked
SLOT000121,TURF025,2026-03-04,06:00,07:00,Wednesday,2500,No,Booked
SLOT000122,TURF012,2024-08-29,17:00,18:00,Thursday,1000,No,Booked
SLOT000123,TURF026,2024-02-08,19:00,20:00,Thursday,1500,Yes,Available
SLOT000124,TURF042,2024-06-27,15:00,16:00,Thursday,1500,No,Available
SLOT000125,TURF032,2025-07-19,10:00,11:00,Saturday,800,No,Booked
SLOT000126,TURF022,2024-04-17,10:00,11:00,Wednesday,1800,No,Available
SLOT000127,TURF028,2025-10-18,13:00,14:00,Saturday,1500,No,Booked
SLOT000128,TURF027,2024-05-08,07:00,08:00,Wednesday,1800,No,Booked
SLOT000129,TURF003,2024-03-20,21:00,22:00,Wednesday,1000,Yes,Available
SLOT000130,TURF038,2025-05-23,06:00,07:00,Friday,800,No,Booked
SLOT000131,TURF046,2025-09-21,08:00,09:00,Sunday,800,No,Booked
SLOT000132,TURF040,2025-05-04,17:00,18:00,Sunday,2000,No,Booked
SLOT000133,TURF028,2025-06-27,19:00,20:00,Friday,1500,Yes,Available
SLOT000134,TURF004,2025-06-30,19:00,20:00,Monday,1000,Yes,Available
SLOT000135,TURF049,2025-02-04,11:00,12:00,Tuesday,800,No,Booked
SLOT000136,TURF003,2025-03-29,21:00,22:00,Saturday,1000,Yes,Blocked
SLOT000137,TURF004,2025-06-22,08:00,09:00,Sunday,1000,No,Available
SLOT000138,TURF049,2024-07-21,06:00,07:00,Sunday,800,No,Booked
SLOT000139,TURF001,2025-09-09,06:00,07:00,Tuesday,1000,No,Available
SLOT000140,TURF022,2026-05-15,11:00,12:00,Friday,1800,No,Booked
SLOT000141,TURF003,2025-05-08,11:00,12:00,Thursday,1000,No,Blocked
SLOT000142,TURF019,2025-05-19,22:00,23:00,Monday,1000,No,Available
SLOT000143,TURF042,2025-04-04,22:00,23:00,Friday,1500,No,Available
SLOT000144,TURF034,2025-09-22,08:00,09:00,Monday,1200,No,Booked
SLOT000145,TURF030,2024-08-21,09:00,10:00,Wednesday,2500,No,Available
SLOT000146,TURF012,2024-06-05,12:00,13:00,Wednesday,1000,No,Booked
SLOT000147,TURF037,2025-04-09,16:00,17:00,Wednesday,1500,No,Booked
SLOT000148,TURF008,2024-10-30,13:00,14:00,Wednesday,1000,No,Available
SLOT000149,TURF019,2025-05-16,15:00,16:00,Friday,1000,No,Booked
SLOT000150,TURF006,2025-06-02,18:00,19:00,Monday,1500,Yes,Available
SLOT000151,TURF024,2025-09-06,20:00,21:00,Saturday,1000,Yes,Booked
SLOT000152,TURF004,2025-05-01,11:00,12:00,Thursday,1000,No,Available
SLOT000153,TURF018,2026-02-10,12:00,13:00,Tuesday,1200,No,Booked
SLOT000154,TURF039,2026-05-05,13:00,14:00,Tuesday,2500,No,Booked
SLOT000155,TURF023,2025-01-03,17:00,18:00,Friday,1500,No,Available
SLOT000156,TURF018,2026-05-01,13:00,14:00,Friday,1200,No,Booked
SLOT000157,TURF024,2024-02-09,21:00,22:00,Friday,1000,Yes,Available
SLOT000158,TURF003,2025-09-23,07:00,08:00,Tuesday,1000,No,Available
SLOT000159,TURF008,2025-03-30,09:00,10:00,Sunday,1000,No,Available
SLOT000160,TURF005,2026-03-23,17:00,18:00,Monday,1200,No,Blocked
SLOT000161,TURF046,2025-05-27,15:00,16:00,Tuesday,800,No,Booked
SLOT000162,TURF016,2024-04-22,19:00,20:00,Monday,2000,Yes,Available
SLOT000163,TURF017,2024-01-19,07:00,08:00,Friday,1200,No,Booked
SLOT000164,TURF026,2024-02-01,12:00,13:00,Thursday,1500,No,Blocked
SLOT000165,TURF014,2024-11-30,06:00,07:00,Saturday,1500,No,Available
SLOT000166,TURF028,2024-06-19,18:00,19:00,Wednesday,1500,Yes,Booked
SLOT000167,TURF037,2024-07-31,18:00,19:00,Wednesday,1500,Yes,Available
SLOT000168,TURF009,2026-02-17,18:00,19:00,Tuesday,1000,Yes,Available
SLOT000169,TURF015,2024-08-24,18:00,19:00,Saturday,2500,Yes,Booked
SLOT000170,TURF004,2026-07-14,10:00,11:00,Tuesday,1000,No,Booked
SLOT000171,TURF001,2024-03-06,08:00,09:00,Wednesday,1000,No,Available
SLOT000172,TURF008,2025-09-08,15:00,16:00,Monday,1000,No,Booked
SLOT000173,TURF048,2024-09-13,16:00,17:00,Friday,1800,No,Available
SLOT000174,TURF039,2025-11-12,17:00,18:00,Wednesday,2500,No,Booked
SLOT000175,TURF005,2025-09-04,06:00,07:00,Thursday,1200,No,Available
SLOT000176,TURF049,2026-04-13,19:00,20:00,Monday,800,Yes,Available
SLOT000177,TURF015,2025-10-14,11:00,12:00,Tuesday,2500,No,Available
SLOT000178,TURF015,2025-01-08,17:00,18:00,Wednesday,2500,No,Booked
SLOT000179,TURF028,2024-09-01,11:00,12:00,Sunday,1500,No,Booked
SLOT000180,TURF016,2025-10-29,10:00,11:00,Wednesday,2000,No,Available
SLOT000181,TURF034,2026-03-13,21:00,22:00,Friday,1200,Yes,Blocked
SLOT000182,TURF004,2025-02-10,16:00,17:00,Monday,1000,No,Available
SLOT000183,TURF002,2024-06-21,11:00,12:00,Friday,2500,No,Blocked
SLOT000184,TURF024,2026-06-23,20:00,21:00,Tuesday,1000,Yes,Booked
SLOT000185,TURF006,2025-11-11,07:00,08:00,Tuesday,1500,No,Booked
SLOT000186,TURF006,2025-05-25,12:00,13:00,Sunday,1500,No,Booked
SLOT000187,TURF046,2025-05-22,21:00,22:00,Thursday,800,Yes,Available
SLOT000188,TURF044,2026-02-25,11:00,12:00,Wednesday,1000,No,Booked
SLOT000189,TURF008,2024-11-19,20:00,21:00,Tuesday,1000,Yes,Available
SLOT000190,TURF034,2025-10-01,09:00,10:00,Wednesday,1200,No,Booked
SLOT000191,TURF047,2025-07-21,09:00,10:00,Monday,1200,No,Booked
SLOT000192,TURF007,2024-11-20,08:00,09:00,Wednesday,1500,No,Booked
SLOT000193,TURF011,2026-01-10,09:00,10:00,Saturday,2500,No,Booked
SLOT000194,TURF045,2026-04-05,15:00,16:00,Sunday,2500,No,Blocked
SLOT000195,TURF020,2025-03-02,12:00,13:00,Sunday,1500,No,Booked
SLOT000196,TURF044,2024-07-27,08:00,09:00,Saturday,1000,No,Available
SLOT000197,TURF031,2026-07-06,08:00,09:00,Monday,2000,No,Available
SLOT000198,TURF001,2025-11-29,18:00,19:00,Saturday,1000,Yes,Available
SLOT000199,TURF020,2026-07-15,07:00,08:00,Wednesday,1500,No,Booked
SLOT000200,TURF031,2026-01-28,12:00,13:00,Wednesday,2000,No,Booked
SLOT000201,TURF008,2025-10-27,21:00,22:00,Monday,1000,Yes,Booked
SLOT000202,TURF006,2025-04-17,18:00,19:00,Thursday,1500,Yes,Booked
SLOT000203,TURF042,2026-06-16,09:00,10:00,Tuesday,1500,No,Booked
SLOT000204,TURF009,2025-04-07,13:00,14:00,Monday,1000,No,Available
SLOT000205,TURF043,2025-06-18,08:00,09:00,Wednesday,1500,No,Booked
SLOT000206,TURF002,2024-09-07,21:00,22:00,Saturday,2500,Yes,Available
SLOT000207,TURF023,2026-05-08,14:00,15:00,Friday,1500,No,Booked
SLOT000208,TURF005,2025-08-06,16:00,17:00,Wednesday,1200,No,Booked
SLOT000209,TURF009,2026-03-10,07:00,08:00,Tuesday,1000,No,Available
SLOT000210,TURF029,2025-07-20,15:00,16:00,Sunday,2000,No,Booked
SLOT000211,TURF027,2026-06-09,12:00,13:00,Tuesday,1800,No,Booked
SLOT000212,TURF045,2024-06-25,08:00,09:00,Tuesday,2500,No,Available
SLOT000213,TURF017,2026-06-18,16:00,17:00,Thursday,1200,No,Available
SLOT000214,TURF043,2025-02-09,10:00,11:00,Sunday,1500,No,Booked
SLOT000215,TURF049,2025-06-24,10:00,11:00,Tuesday,800,No,Booked
SLOT000216,TURF004,2025-10-21,15:00,16:00,Tuesday,1000,No,Booked
SLOT000217,TURF005,2026-03-26,19:00,20:00,Thursday,1200,Yes,Available
SLOT000218,TURF017,2025-02-13,13:00,14:00,Thursday,1200,No,Booked
SLOT000219,TURF039,2026-04-08,09:00,10:00,Wednesday,2500,No,Available
SLOT000220,TURF022,2025-09-20,13:00,14:00,Saturday,1800,No,Booked
SLOT000221,TURF045,2025-03-08,16:00,17:00,Saturday,2500,No,Booked
SLOT000222,TURF049,2025-05-22,19:00,20:00,Thursday,800,Yes,Booked
SLOT000223,TURF013,2026-02-18,09:00,10:00,Wednesday,1500,No,Available
SLOT000224,TURF049,2026-06-05,16:00,17:00,Friday,800,No,Booked
SLOT000225,TURF003,2026-03-08,15:00,16:00,Sunday,1000,No,Booked
SLOT000226,TURF045,2026-06-21,21:00,22:00,Sunday,2500,Yes,Blocked
SLOT000227,TURF042,2024-04-16,15:00,16:00,Tuesday,1500,No,Available
SLOT000228,TURF048,2026-06-25,09:00,10:00,Thursday,1800,No,Available
SLOT000229,TURF001,2025-05-23,07:00,08:00,Friday,1000,No,Available
SLOT000230,TURF035,2025-03-14,16:00,17:00,Friday,800,No,Booked
SLOT000231,TURF025,2024-02-24,22:00,23:00,Saturday,2500,No,Booked
SLOT000232,TURF001,2024-10-07,16:00,17:00,Monday,1000,No,Available
SLOT000233,TURF018,2025-10-16,21:00,22:00,Thursday,1200,Yes,Booked
SLOT000234,TURF032,2024-09-03,14:00,15:00,Tuesday,800,No,Available
SLOT000235,TURF024,2025-11-01,21:00,22:00,Saturday,1000,Yes,Booked
SLOT000236,TURF049,2025-09-09,07:00,08:00,Tuesday,800,No,Booked
SLOT000237,TURF028,2025-05-29,10:00,11:00,Thursday,1500,No,Available
SLOT000238,TURF024,2026-05-06,08:00,09:00,Wednesday,1000,No,Available
SLOT000239,TURF045,2025-05-10,07:00,08:00,Saturday,2500,No,Booked
SLOT000240,TURF001,2026-03-25,12:00,13:00,Wednesday,1000,No,Booked
SLOT000241,TURF006,2026-02-04,22:00,23:00,Wednesday,1500,No,Booked
SLOT000242,TURF026,2025-07-24,20:00,21:00,Thursday,1500,Yes,Booked
SLOT000243,TURF002,2026-01-25,17:00,18:00,Sunday,2500,No,Booked
SLOT000244,TURF002,2024-12-01,17:00,18:00,Sunday,2500,No,Booked
SLOT000245,TURF023,2025-05-09,10:00,11:00,Friday,1500,No,Booked
SLOT000246,TURF034,2024-09-30,10:00,11:00,Monday,1200,No,Booked
SLOT000247,TURF033,2024-02-20,12:00,13:00,Tuesday,1000,No,Available
SLOT000248,TURF039,2025-09-12,11:00,12:00,Friday,2500,No,Booked
SLOT000249,TURF028,2025-10-12,08:00,09:00,Sunday,1500,No,Available
SLOT000250,TURF018,2024-02-06,18:00,19:00,Tuesday,1200,Yes,Booked
SLOT000251,TURF032,2025-06-09,06:00,07:00,Monday,800,No,Booked
SLOT000252,TURF035,2026-01-23,07:00,08:00,Friday,800,No,Booked
SLOT000253,TURF013,2024-04-01,10:00,11:00,Monday,1500,No,Blocked
SLOT000254,TURF008,2025-04-16,16:00,17:00,Wednesday,1000,No,Available
SLOT000255,TURF036,2024-06-01,12:00,13:00,Saturday,2500,No,Booked
SLOT000256,TURF006,2024-07-08,18:00,19:00,Monday,1500,Yes,Booked
SLOT000257,TURF009,2024-12-20,12:00,13:00,Friday,1000,No,Booked
SLOT000258,TURF023,2026-02-13,09:00,10:00,Friday,1500,No,Booked
SLOT000259,TURF045,2025-04-16,14:00,15:00,Wednesday,2500,No,Booked
SLOT000260,TURF018,2026-03-21,21:00,22:00,Saturday,1200,Yes,Available
SLOT000261,TURF032,2024-07-12,12:00,13:00,Friday,800,No,Booked
SLOT000262,TURF032,2024-08-26,14:00,15:00,Monday,800,No,Booked
SLOT000263,TURF007,2025-11-23,10:00,11:00,Sunday,1500,No,Booked
SLOT000264,TURF017,2024-07-08,20:00,21:00,Monday,1200,Yes,Available
SLOT000265,TURF031,2024-09-24,17:00,18:00,Tuesday,2000,No,Available
SLOT000266,TURF030,2024-03-08,15:00,16:00,Friday,2500,No,Booked
SLOT000267,TURF004,2026-05-30,10:00,11:00,Saturday,1000,No,Available
SLOT000268,TURF022,2024-08-19,06:00,07:00,Monday,1800,No,Available
SLOT000269,TURF037,2025-01-07,21:00,22:00,Tuesday,1500,Yes,Booked
SLOT000270,TURF046,2025-09-13,18:00,19:00,Saturday,800,Yes,Booked
SLOT000271,TURF012,2025-05-15,20:00,21:00,Thursday,1000,Yes,Available
SLOT000272,TURF030,2024-06-01,22:00,23:00,Saturday,2500,No,Available
SLOT000273,TURF007,2025-03-08,10:00,11:00,Saturday,1500,No,Available
SLOT000274,TURF006,2024-09-02,09:00,10:00,Monday,1500,No,Booked
SLOT000275,TURF041,2024-03-16,12:00,13:00,Saturday,2000,No,Booked
SLOT000276,TURF002,2025-05-01,12:00,13:00,Thursday,2500,No,Booked
SLOT000277,TURF049,2025-11-23,11:00,12:00,Sunday,800,No,Available
SLOT000278,TURF026,2025-08-13,22:00,23:00,Wednesday,1500,No,Available
SLOT000279,TURF019,2025-12-29,11:00,12:00,Monday,1000,No,Booked
SLOT000280,TURF047,2024-05-09,13:00,14:00,Thursday,1200,No,Available
SLOT000281,TURF003,2025-07-25,13:00,14:00,Friday,1000,No,Booked
SLOT000282,TURF021,2026-06-26,07:00,08:00,Friday,2500,No,Available
SLOT000283,TURF049,2026-02-21,15:00,16:00,Saturday,800,No,Booked
SLOT000284,TURF007,2024-09-11,06:00,07:00,Wednesday,1500,No,Blocked
SLOT000285,TURF023,2025-07-29,22:00,23:00,Tuesday,1500,No,Booked
SLOT000286,TURF040,2024-06-22,13:00,14:00,Saturday,2000,No,Available
SLOT000287,TURF008,2025-03-10,11:00,12:00,Monday,1000,No,Booked
SLOT000288,TURF042,2024-02-25,06:00,07:00,Sunday,1500,No,Available
SLOT000289,TURF039,2024-08-02,08:00,09:00,Friday,2500,No,Booked
SLOT000290,TURF040,2024-08-25,20:00,21:00,Sunday,2000,Yes,Available
SLOT000291,TURF020,2024-10-03,13:00,14:00,Thursday,1500,No,Booked
SLOT000292,TURF013,2025-03-30,14:00,15:00,Sunday,1500,No,Blocked
SLOT000293,TURF029,2026-06-28,09:00,10:00,Sunday,2000,No,Booked
SLOT000294,TURF014,2025-04-01,14:00,15:00,Tuesday,1500,No,Available
SLOT000295,TURF026,2024-06-22,17:00,18:00,Saturday,1500,No,Booked
SLOT000296,TURF002,2025-03-26,06:00,07:00,Wednesday,2500,No,Booked
SLOT000297,TURF015,2024-12-30,22:00,23:00,Monday,2500,No,Booked
SLOT000298,TURF014,2024-09-27,09:00,10:00,Friday,1500,No,Available
SLOT000299,TURF050,2025-06-07,11:00,12:00,Saturday,1800,No,Available
SLOT000300,TURF048,2024-08-25,16:00,17:00,Sunday,1800,No,Booked
SLOT000301,TURF009,2026-01-16,14:00,15:00,Friday,1000,No,Booked
SLOT000302,TURF038,2025-07-20,16:00,17:00,Sunday,800,No,Booked
SLOT000303,TURF048,2024-12-28,20:00,21:00,Saturday,1800,Yes,Booked
SLOT000304,TURF024,2025-03-12,09:00,10:00,Wednesday,1000,No,Booked
SLOT000305,TURF016,2024-08-09,20:00,21:00,Friday,2000,Yes,Available
SLOT000306,TURF025,2025-02-24,21:00,22:00,Monday,2500,Yes,Booked
SLOT000307,TURF043,2025-12-15,12:00,13:00,Monday,1500,No,Available
SLOT000308,TURF015,2024-04-02,08:00,09:00,Tuesday,2500,No,Available
SLOT000309,TURF045,2024-04-05,16:00,17:00,Friday,2500,No,Booked
SLOT000310,TURF015,2024-01-27,13:00,14:00,Saturday,2500,No,Booked
SLOT000311,TURF047,2024-04-26,14:00,15:00,Friday,1200,No,Available
SLOT000312,TURF015,2025-05-14,08:00,09:00,Wednesday,2500,No,Blocked
SLOT000313,TURF001,2026-03-03,21:00,22:00,Tuesday,1000,Yes,Available
SLOT000314,TURF042,2024-08-04,19:00,20:00,Sunday,1500,Yes,Booked
SLOT000315,TURF035,2025-08-17,07:00,08:00,Sunday,800,No,Available
SLOT000316,TURF019,2025-01-14,10:00,11:00,Tuesday,1000,No,Booked
SLOT000317,TURF010,2026-04-05,18:00,19:00,Sunday,2500,Yes,Booked
SLOT000318,TURF018,2025-04-04,10:00,11:00,Friday,1200,No,Booked
SLOT000319,TURF036,2024-10-03,13:00,14:00,Thursday,2500,No,Booked
SLOT000320,TURF021,2024-03-03,16:00,17:00,Sunday,2500,No,Available
SLOT000321,TURF037,2025-11-07,06:00,07:00,Friday,1500,No,Booked
SLOT000322,TURF015,2025-01-28,09:00,10:00,Tuesday,2500,No,Booked
SLOT000323,TURF029,2024-06-11,17:00,18:00,Tuesday,2000,No,Booked
SLOT000324,TURF043,2025-09-11,13:00,14:00,Thursday,1500,No,Booked
SLOT000325,TURF045,2024-11-24,09:00,10:00,Sunday,2500,No,Available
SLOT000326,TURF049,2026-04-01,14:00,15:00,Wednesday,800,No,Booked
SLOT000327,TURF028,2024-11-30,08:00,09:00,Saturday,1500,No,Available
SLOT000328,TURF029,2024-09-26,11:00,12:00,Thursday,2000,No,Booked
SLOT000329,TURF021,2024-09-23,17:00,18:00,Monday,2500,No,Available
SLOT000330,TURF024,2025-12-08,19:00,20:00,Monday,1000,Yes,Booked
SLOT000331,TURF018,2024-01-10,11:00,12:00,Wednesday,1200,No,Booked
SLOT000332,TURF047,2025-02-07,21:00,22:00,Friday,1200,Yes,Available
SLOT000333,TURF039,2026-01-23,13:00,14:00,Friday,2500,No,Booked
SLOT000334,TURF002,2024-03-14,14:00,15:00,Thursday,2500,No,Available
SLOT000335,TURF006,2024-11-06,17:00,18:00,Wednesday,1500,No,Available
SLOT000336,TURF035,2024-02-23,21:00,22:00,Friday,800,Yes,Booked
SLOT000337,TURF005,2026-05-13,14:00,15:00,Wednesday,1200,No,Blocked
SLOT000338,TURF023,2024-11-12,14:00,15:00,Tuesday,1500,No,Booked
SLOT000339,TURF004,2024-01-14,15:00,16:00,Sunday,1000,No,Booked
