MaintenanceID,TurfID,MaintenanceType,MaintenanceDate,PerformedByStaffID,Cost,DurationHours,Status,Notes
MNT00028,TURF028,Painting,2024-12-13,STF0101,2000,2,Completed,Scheduled upkeep
MNT00029,TURF034,Pitch Rolling,2025-12-29,STF0100,8000,2,Completed,Pre-season prep
MNT00030,TURF037,Floodlight Repair,2025-08-25,STF0004,12000,1,Completed,Scheduled upkeep
MNT00031,TURF036,Pitch Rolling,2025-05-12,STF0106,8000,3,Completed,Routine check
MNT00032,TURF049,Floodlight Repair,2026-04-08,STF0087,1500,2,Completed,Scheduled upkeep
MNT00033,TURF040,Floodlight Repair,2024-08-26,STF0063,1500,4,Completed,Urgent repair
MNT00034,TURF019,Fencing Repair,2024-12-01,STF0126,3000,1,Completed,Pre-season prep
MNT00035,TURF005,Cleaning,2026-05-04,STF0082,5000,6,Completed,Pre-season prep
MNT00036,TURF010,Turf Mowing,2024-10-21,STF0028,500,2,Completed,Urgent repair
MNT00037,TURF042,Line Marking,2025-10-14,STF0083,2000,3,Completed,Pre-season prep
MNT00038,TURF047,Equipment Servicing,2025-06-22,STF0059,1500,1,Completed,Urgent repair
MNT00039,TURF036,Painting,2025-12-23,STF0123,12000,4,In Progress,Scheduled upkeep
MNT00040,TURF036,Equipment Servicing,2025-04-29,STF0041,12000,2,Completed,Scheduled upkeep
MNT00041,TURF014,Cleaning,2024-02-07,STF0095,12000,8,Completed,Scheduled upkeep
MNT00042,TURF002,Turf Mowing,2026-06-15,STF0134,1500,4,Completed,Urgent repair
MNT00043,TURF030,Turf Mowing,2025-03-12,STF0013,1000,2,Scheduled,Customer complaint follow-up
MNT00044,TURF019,Line Marking,2024-07-19,STF0034,1500,6,Completed,Customer complaint follow-up
MNT00045,TURF015,Cleaning,2024-06-27,STF0082,1000,3,Completed,Pre-season prep
MNT00046,TURF011,Fencing Repair,2024-08-11,STF0061,12000,3,Scheduled,Routine check
MNT00047,TURF018,Painting,2025-05-16,STF0063,8000,1,Completed,Pre-season prep
MNT00048,TURF035,Fencing Repair,2025-03-28,STF0041,12000,6,Scheduled,Urgent repair
MNT00049,TURF011,Net Replacement,2024-10-25,STF0112,8000,3,Completed,Urgent repair
MNT00050,TURF003,Cleaning,2025-03-15,STF0083,3000,2,Scheduled,Routine check
MNT00051,TURF014,Painting,2024-06-24,STF0126,1500,6,Scheduled,Pre-season prep
MNT00052,TURF028,Painting,2026-02-20,STF0082,1500,6,Completed,Customer complaint follow-up
MNT00053,TURF016,Turf Mowing,2025-06-02,STF0119,5000,6,Completed,Scheduled upkeep
MNT00054,TURF047,Equipment Servicing,2024-05-21,STF0029,1500,4,Completed,Urgent repair
MNT00055,TURF034,Equipment Servicing,2026-04-24,STF0069,1500,8,Completed,Scheduled upkeep
MNT00056,TURF003,Net Replacement,2025-08-29,STF0025,12000,2,Completed,Customer complaint follow-up
MNT00057,TURF019,Fencing Repair,2024-04-08,STF0082,2000,1,Completed,Urgent repair
MNT00058,TURF040,Turf Mowing,2026-01-22,STF0051,12000,1,Completed,Routine check
MNT00059,TURF043,Fencing Repair,2025-10-01,STF0036,8000,3,Completed,Pre-season prep
MNT00060,TURF013,Turf Mowing,2024-09-28,STF0069,2000,2,Completed,Urgent repair
MNT00061,TURF044,Turf Mowing,2024-04-07,STF0041,1000,6,Completed,Customer complaint follow-up
MNT00062,TURF037,Line Marking,2024-02-27,STF0069,8000,4,Completed,Customer complaint follow-up
MNT00063,TURF043,Pitch Rolling,2025-10-04,STF0112,500,3,Completed,Scheduled upkeep
MNT00064,TURF049,Drainage Check,2024-01-08,STF0129,1500,8,Scheduled,Customer complaint follow-up
MNT00065,TURF020,Pitch Rolling,2024-11-30,STF0047,1000,4,Completed,Urgent repair
MNT00066,TURF003,Fencing Repair,2024-03-26,STF0106,12000,3,Completed,Customer complaint follow-up
MNT00067,TURF019,Turf Mowing,2024-03-25,STF0002,2000,6,Completed,Pre-season prep
MNT00068,TURF031,Equipment Servicing,2025-09-06,STF0123,3000,1,Completed,Customer complaint follow-up
MNT00069,TURF040,Cleaning,2024-06-13,STF0139,5000,6,In Progress,Customer complaint follow-up
MNT00070,TURF020,Net Replacement,2026-04-03,STF0087,500,3,Completed,Pre-season prep
MNT00071,TURF030,Net Replacement,2025-05-07,STF0024,1000,3,Completed,Urgent repair
MNT00072,TURF020,Pitch Rolling,2024-12-13,STF0083,3000,3,Scheduled,Scheduled upkeep
MNT00073,TURF015,Line Marking,2024-04-15,STF0138,12000,3,Scheduled,Pre-season prep
MNT00074,TURF003,Floodlight Repair,2025-06-17,STF0009,1000,1,Completed,Pre-season prep
MNT00075,TURF045,Net Replacement,2024-11-24,STF0002,500,6,Completed,Scheduled upkeep
MNT00076,TURF014,Drainage Check,2026-04-05,STF0100,2000,6,Completed,Urgent repair
MNT00077,TURF016,Pitch Rolling,2024-07-31,STF0033,1000,4,Completed,Customer complaint follow-up
MNT00078,TURF042,Equipment Servicing,2024-10-06,STF0119,5000,2,Completed,Scheduled upkeep
MNT00079,TURF035,Cleaning,2026-05-26,STF0048,1000,3,Completed,Pre-season prep
MNT00080,TURF012,Drainage Check,2024-01-05,STF0112,3000,2,Completed,Urgent repair
MNT00081,TURF044,Cleaning,2025-01-13,STF0123,1500,3,Completed,Scheduled upkeep
MNT00082,TURF040,Drainage Check,2024-09-02,STF0112,2000,3,Completed,Urgent repair
MNT00083,TURF014,Cleaning,2025-04-19,STF0087,2000,3,Completed,Pre-season prep
MNT00084,TURF015,Equipment Servicing,2025-01-31,STF0122,3000,2,Completed,Customer complaint follow-up
MNT00085,TURF033,Drainage Check,2026-02-16,STF0029,1500,2,Completed,Pre-season prep
MNT00086,TURF031,Line Marking,2024-10-04,STF0061,5000,8,Scheduled,Urgent repair
MNT00087,TURF018,Fencing Repair,2025-07-11,STF0119,5000,1,Completed,Urgent repair
MNT00088,TURF006,Drainage Check,2025-11-30,STF0048,1500,3,Completed,Urgent repair
MNT00089,TURF002,Turf Mowing,2024-02-16,STF0100,3000,8,Completed,Urgent repair
MNT00090,TURF046,Fencing Repair,2024-01-03,STF0013,500,4,Completed,Pre-season prep
MNT00091,TURF034,Cleaning,2025-02-12,STF0112,5000,3,Completed,Routine check
MNT00092,TURF012,Cleaning,2024-01-10,STF0095,8000,8,Completed,Routine check
MNT00093,TURF020,Drainage Check,2025-07-07,STF0071,1500,1,In Progress,Routine check
MNT00094,TURF004,Fencing Repair,2025-01-09,STF0041,12000,1,Completed,Pre-season prep
MNT00095,TURF040,Net Replacement,2024-09-06,STF0030,5000,4,Completed,Urgent repair
MNT00096,TURF034,Pitch Rolling,2026-01-19,STF0139,2000,8,Completed,Urgent repair
MNT00097,TURF012,Net Replacement,2024-08-02,STF0093,1500,3,Completed,Urgent repair
MNT00098,TURF028,Net Replacement,2025-07-01,STF0050,5000,6,Scheduled,Pre-season prep
MNT00099,TURF043,Floodlight Repair,2024-06-29,STF0030,500,8,Completed,Customer complaint follow-up
MNT00100,TURF038,Line Marking,2026-04-29,STF0071,1000,4,In Progress,Scheduled upkeep
MNT00101,TURF004,Painting,2025-06-20,STF0059,500,4,Scheduled,Pre-season prep
MNT00102,TURF024,Pitch Rolling,2025-09-02,STF0065,3000,1,In Progress,Pre-season prep
MNT00103,TURF028,Turf Mowing,2024-10-07,STF0034,2000,2,In Progress,Customer complaint follow-up
MNT00104,TURF005,Turf Mowing,2025-05-21,STF0065,5000,1,In Progress,Routine check
MNT00105,TURF015,Equipment Servicing,2024-05-18,STF0059,3000,1,Scheduled,Routine check
MNT00106,TURF041,Floodlight Repair,2024-06-27,STF0078,5000,4,Completed,Pre-season prep
MNT00107,TURF007,Net Replacement,2025-01-04,STF0078,3000,1,Completed,Customer complaint follow-up
MNT00108,TURF033,Turf Mowing,2025-11-14,STF0065,5000,8,Completed,Routine check
MNT00109,TURF028,Floodlight Repair,2025-12-12,STF0013,5000,4,Completed,Routine check
MNT00110,TURF024,Pitch Rolling,2025-11-27,STF0075,8000,8,Completed,Customer complaint follow-up
MNT00111,TURF004,Painting,2026-02-20,STF0129,1000,6,Completed,Routine check
MNT00112,TURF013,Line Marking,2026-04-24,STF0095,1500,8,Completed,Routine check
MNT00113,TURF037,Cleaning,2025-01-27,STF0013,500,4,Completed,Urgent repair
MNT00114,TURF006,Turf Mowing,2025-05-30,STF0106,1000,1,Completed,Scheduled upkeep
MNT00115,TURF044,Line Marking,2026-02-06,STF0112,1000,8,In Progress,Customer complaint follow-up
MNT00116,TURF030,Floodlight Repair,2025-02-26,STF0082,5000,6,In Progress,Routine check
MNT00117,TURF044,Net Replacement,2025-06-06,STF0059,1500,8,In Progress,Scheduled upkeep
MNT00118,TURF033,Pitch Rolling,2025-11-30,STF0050,3000,1,Completed,Pre-season prep
MNT00119,TURF024,Line Marking,2024-05-27,STF0129,2000,2,Completed,Routine check
MNT00120,TURF026,Cleaning,2026-01-08,STF0082,2000,6,Completed,Scheduled upkeep
MNT00121,TURF012,Line Marking,2025-09-12,STF0065,2000,3,In Progress,Routine check
MNT00122,TURF019,Line Marking,2025-02-24,STF0130,5000,8,Completed,Scheduled upkeep
MNT00123,TURF015,Floodlight Repair,2025-05-26,STF0020,12000,6,Completed,Scheduled upkeep
MNT00124,TURF046,Equipment Servicing,2025-10-09,STF0023,3000,3,Completed,Scheduled upkeep
MNT00125,TURF049,Floodlight Repair,2024-07-26,STF0138,500,4,Scheduled,Scheduled upkeep
MNT00126,TURF007,Floodlight Repair,2024-04-02,STF0061,1000,8,Completed,Urgent repair
MNT00127,TURF027,Fencing Repair,2025-08-14,STF0031,2000,1,Completed,Customer complaint follow-up
MNT00128,TURF048,Floodlight Repair,2025-01-02,STF0039,5000,1,Completed,Customer complaint follow-up
MNT00129,TURF017,Fencing Repair,2026-01-16,STF0047,1500,2,Completed,Pre-season prep
MNT00130,TURF013,Painting,2025-05-25,STF0004,12000,6,Completed,Scheduled upkeep
MNT00131,TURF036,Turf Mowing,2024-08-24,STF0083,2000,3,In Progress,Customer complaint follow-up
MNT00132,TURF032,Floodlight Repair,2025-02-08,STF0126,5000,2,Completed,Routine check
MNT00133,TURF021,Net Replacement,2025-02-17,STF0093,3000,2,In Progress,Customer complaint follow-up
MNT00134,TURF003,Cleaning,2024-04-10,STF0069,12000,8,Completed,Routine check
MNT00135,TURF007,Equipment Servicing,2024-10-22,STF0033,500,3,In Progress,Scheduled upkeep
MNT00136,TURF037,Fencing Repair,2024-12-05,STF0087,1500,6,In Progress,Scheduled upkeep
MNT00137,TURF019,Fencing Repair,2026-01-24,STF0109,1000,3,Scheduled,Urgent repair
MNT00138,TURF023,Floodlight Repair,2026-06-10,STF0071,500,6,Completed,Routine check
MNT00139,TURF044,Pitch Rolling,2025-09-10,STF0078,1000,2,Completed,Urgent repair
MNT00140,TURF006,Floodlight Repair,2024-03-18,STF0093,1000,8,Completed,Scheduled upkeep
MNT00141,TURF041,Line Marking,2024-03-02,STF0138,1000,1,Completed,Customer complaint follow-up
MNT00142,TURF001,Floodlight Repair,2026-05-18,STF0071,8000,6,Completed,Pre-season prep
MNT00143,TURF043,Net Replacement,2025-08-24,STF0071,500,2,Completed,Routine check
MNT00144,TURF037,Net Replacement,2025-12-16,STF0139,8000,8,In Progress,Pre-season prep
MNT00145,TURF013,Floodlight Repair,2025-12-06,STF0063,500,1,Completed,Routine check
MNT00146,TURF023,Turf Mowing,2026-06-02,STF0150,3000,8,Completed,Urgent repair
MNT00147,TURF028,Line Marking,2025-12-21,STF0134,12000,6,Completed,Customer complaint follow-up
MNT00148,TURF039,Cleaning,2026-01-28,STF0147,1500,3,Completed,Routine check
MNT00149,TURF045,Turf Mowing,2025-02-20,STF0033,1000,6,In Progress,Pre-season prep
MNT00150,TURF048,Fencing Repair,2024-07-30,STF0002,1000,1,Completed,Urgent repair
MNT00151,TURF002,Drainage Check,2024-01-19,STF0002,8000,6,Scheduled,Scheduled upkeep
MNT00152,TURF014,Floodlight Repair,2025-07-21,STF0070,12000,2,Completed,Customer complaint follow-up
MNT00153,TURF039,Net Replacement,2025-02-21,STF0061,1500,8,In Progress,Scheduled upkeep
MNT00154,TURF041,Pitch Rolling,2024-02-18,STF0004,1500,8,In Progress,Routine check
MNT00155,TURF006,Drainage Check,2025-04-09,STF0097,5000,6,Completed,Scheduled upkeep
MNT00156,TURF044,Turf Mowing,2026-05-24,STF0041,1500,2,Completed,Customer complaint follow-up
MNT00157,TURF002,Line Marking,2026-04-25,STF0011,1000,6,Completed,Customer complaint follow-up
MNT00158,TURF005,Equipment Servicing,2024-04-15,STF0004,1000,6,Completed,Routine check
MNT00159,TURF017,Floodlight Repair,2024-05-06,STF0061,12000,3,Completed,Routine check
MNT00160,TURF010,Fencing Repair,2026-03-27,STF0029,3000,4,Completed,Urgent repair
MNT00161,TURF033,Line Marking,2025-10-08,STF0061,1500,2,Completed,Urgent repair
MNT00162,TURF022,Net Replacement,2025-12-21,STF0071,12000,4,Completed,Scheduled upkeep
MNT00163,TURF027,Net Replacement,2025-08-10,STF0097,12000,1,Completed,Urgent repair
MNT00164,TURF026,Fencing Repair,2025-07-04,STF0126,8000,8,Completed,Customer complaint follow-up
MNT00165,TURF041,Fencing Repair,2025-08-26,STF0147,12000,1,Completed,Customer complaint follow-up
MNT00166,TURF040,Turf Mowing,2026-04-10,STF0050,2000,6,Completed,Routine check
MNT00167,TURF031,Line Marking,2025-08-18,STF0031,1000,3,Completed,Customer complaint follow-up
MNT00168,TURF006,Line Marking,2024-07-13,STF0119,1000,3,Completed,Pre-season prep
MNT00169,TURF005,Painting,2025-05-18,STF0050,1000,2,Completed,Scheduled upkeep
MNT00170,TURF018,Net Replacement,2024-02-13,STF0123,5000,8,Completed,Pre-season prep
MNT00171,TURF045,Turf Mowing,2025-03-26,STF0002,1000,3,Scheduled,Urgent repair
MNT00172,TURF031,Drainage Check,2026-05-11,STF0011,1000,4,In Progress,Customer complaint follow-up
MNT00173,TURF042,Line Marking,2024-09-23,STF0097,3000,8,Scheduled,Scheduled upkeep
MNT00174,TURF001,Floodlight Repair,2025-02-01,STF0126,8000,4,Completed,Customer complaint follow-up
MNT00175,TURF002,Cleaning,2024-02-21,STF0028,3000,4,Completed,Scheduled upkeep
MNT00176,TURF003,Cleaning,2026-02-24,STF0065,3000,8,Completed,Routine check
MNT00177,TURF017,Cleaning,2024-06-03,STF0109,3000,6,Completed,Routine check
MNT00178,TURF026,Turf Mowing,2024-05-30,STF0039,3000,6,Completed,Urgent repair
MNT00179,TURF029,Line Marking,2025-08-08,STF0134,5000,1,Completed,Scheduled upkeep
MNT00180,TURF022,Line Marking,2024-12-04,STF0051,1000,8,Completed,Pre-season prep
MNT00181,TURF019,Floodlight Repair,2025-08-04,STF0123,2000,2,Completed,Routine check
MNT00182,TURF020,Fencing Repair,2024-06-26,STF0023,3000,6,Completed,Customer complaint follow-up
MNT00183,TURF050,Turf Mowing,2025-11-18,STF0150,12000,1,Completed,Routine check
MNT00184,TURF040,Fencing Repair,2025-12-11,STF0075,12000,2,Scheduled,Routine check
MNT00185,TURF023,Equipment Servicing,2024-01-26,STF0024,1500,1,Scheduled,Scheduled upkeep
MNT00186,TURF017,Drainage Check,2025-08-27,STF0011,12000,1,Scheduled,Pre-season prep
MNT00187,TURF039,Painting,2024-11-26,STF0013,1000,4,Completed,Urgent repair
MNT00188,TURF007,Fencing Repair,2025-05-20,STF0002,5000,1,In Progress,Scheduled upkeep
MNT00189,TURF050,Turf Mowing,2024-02-28,STF0126,1000,2,In Progress,Customer complaint follow-up
MNT00190,TURF049,Line Marking,2024-09-14,STF0030,8000,4,Completed,Scheduled upkeep
MNT00191,TURF031,Cleaning,2024-01-14,STF0134,8000,3,Scheduled,Customer complaint follow-up
MNT00192,TURF028,Turf Mowing,2025-01-30,STF0129,2000,2,Completed,Urgent repair
MNT00193,TURF011,Drainage Check,2025-08-30,STF0051,12000,6,Scheduled,Scheduled upkeep
MNT00194,TURF048,Net Replacement,2025-05-23,STF0028,1500,4,Completed,Urgent repair
MNT00195,TURF004,Equipment Servicing,2025-03-13,STF0051,1500,4,Completed,Routine check
MNT00196,TURF019,Pitch Rolling,2025-07-02,STF0083,5000,3,Scheduled,Urgent repair
MNT00197,TURF011,Net Replacement,2025-06-11,STF0106,5000,2,Completed,Customer complaint follow-up
MNT00198,TURF041,Fencing Repair,2024-05-11,STF0130,500,6,Completed,Pre-season prep
MNT00199,TURF027,Equipment Servicing,2024-11-10,STF0083,8000,6,Completed,Scheduled upkeep
MNT00200,TURF039,Painting,2024-03-14,STF0069,1500,1,Completed,Urgent repair
MNT00201,TURF004,Equipment Servicing,2025-05-11,STF0033,2000,2,Completed,Routine check
MNT00202,TURF028,Floodlight Repair,2024-07-26,STF0026,8000,4,Completed,Pre-season prep
MNT00203,TURF014,Pitch Rolling,2025-04-03,STF0095,12000,8,In Progress,Routine check
MNT00204,TURF037,Equipment Servicing,2026-06-08,STF0034,1000,3,Completed,Routine check
MNT00205,TURF015,Floodlight Repair,2026-04-23,STF0078,1000,3,Completed,Routine check
MNT00206,TURF011,Drainage Check,2025-05-04,STF0106,2000,6,Completed,Routine check
MNT00207,TURF008,Turf Mowing,2024-07-21,STF0023,5000,3,Completed,Scheduled upkeep
MNT00208,TURF028,Fencing Repair,2025-04-19,STF0123,2000,2,Scheduled,Routine check
MNT00209,TURF039,Painting,2025-12-10,STF0130,1500,1,Completed,Customer complaint follow-up
MNT00210,TURF010,Net Replacement,2025-04-03,STF0020,500,4,Completed,Pre-season prep
MNT00211,TURF011,Painting,2025-01-12,STF0083,3000,3,Completed,Customer complaint follow-up
MNT00212,TURF032,Turf Mowing,2024-08-19,STF0123,12000,1,Completed,Routine check
MNT00213,TURF006,Equipment Servicing,2026-05-05,STF0070,3000,3,Completed,Customer complaint follow-up
MNT00214,TURF039,Painting,2026-02-06,STF0070,8000,6,Completed,Routine check
MNT00215,TURF041,Line Marking,2025-06-22,STF0041,1000,1,Completed,Urgent repair
MNT00216,TURF011,Fencing Repair,2025-08-29,STF0020,3000,4,Completed,Routine check
MNT00217,TURF022,Cleaning,2025-11-24,STF0075,8000,1,Completed,Pre-season prep
MNT00218,TURF029,Painting,2025-04-18,STF0025,5000,3,Completed,Customer complaint follow-up
MNT00219,TURF016,Pitch Rolling,2024-10-12,STF0095,1000,2,Completed,Routine check
MNT00220,TURF008,Line Marking,2025-01-13,STF0100,12000,1,Completed,Routine check
MNT00221,TURF001,Turf Mowing,2025-06-22,STF0013,12000,4,Completed,Urgent repair
MNT00222,TURF032,Fencing Repair,2026-01-25,STF0071,5000,2,Completed,Routine check
MNT00223,TURF003,Fencing Repair,2026-03-01,STF0071,8000,6,Completed,Routine check
MNT00224,TURF033,Floodlight Repair,2024-01-11,STF0129,500,8,Scheduled,Customer complaint follow-up
MNT00225,TURF027,Line Marking,2024-02-02,STF0147,3000,1,Completed,Routine check
MNT00226,TURF017,Net Replacement,2025-10-27,STF0028,2000,4,Completed,Urgent repair
MNT00227,TURF048,Fencing Repair,2024-02-10,STF0041,1000,8,Completed,Customer complaint follow-up
MNT00228,TURF037,Turf Mowing,2025-10-10,STF0075,1000,4,Completed,Scheduled upkeep
MNT00229,TURF021,Cleaning,2026-05-14,STF0071,8000,4,Scheduled,Urgent repair
MNT00230,TURF012,Painting,2025-01-12,STF0093,3000,3,In Progress,Urgent repair
MNT00231,TURF035,Floodlight Repair,2026-01-01,STF0101,12000,1,In Progress,Urgent repair
MNT00232,TURF041,Floodlight Repair,2024-04-18,STF0051,1000,4,Completed,Scheduled upkeep
MNT00233,TURF034,Line Marking,2024-09-30,STF0101,1500,6,Completed,Pre-season prep
MNT00234,TURF041,Drainage Check,2026-04-28,STF0101,3000,6,Scheduled,Scheduled upkeep
MNT00235,TURF043,Painting,2025-09-21,STF0023,5000,1,Completed,Scheduled upkeep
MNT00236,TURF035,Drainage Check,2025-04-14,STF0033,8000,4,Completed,Urgent repair
MNT00237,TURF005,Floodlight Repair,2025-07-16,STF0028,8000,2,Completed,Routine check
MNT00238,TURF047,Line Marking,2026-01-12,STF0134,5000,2,In Progress,Routine check
MNT00239,TURF047,Net Replacement,2025-08-27,STF0106,3000,3,Completed,Pre-season prep
MNT00240,TURF015,Floodlight Repair,2025-01-08,STF0075,1000,2,Scheduled,Customer complaint follow-up
MNT00241,TURF010,Cleaning,2024-07-25,STF0048,3000,8,Completed,Pre-season prep
MNT00242,TURF031,Cleaning,2024-05-14,STF0105,5000,6,In Progress,Routine check
MNT00243,TURF030,Floodlight Repair,2025-08-23,STF0030,5000,1,Scheduled,Scheduled upkeep
MNT00244,TURF023,Net Replacement,2025-08-01,STF0030,12000,1,Completed,Customer complaint follow-up
MNT00245,TURF036,Equipment Servicing,2024-06-01,STF0075,500,2,Completed,Pre-season prep
MNT00246,TURF024,Drainage Check,2025-11-06,STF0047,12000,6,Completed,Scheduled upkeep
MNT00247,TURF042,Turf Mowing,2024-01-16,STF0112,1000,1,Scheduled,Urgent repair
MNT00248,TURF009,Cleaning,2025-01-03,STF0033,8000,1,Completed,Customer complaint follow-up
MNT00249,TURF023,Cleaning,2024-11-17,STF0113,2000,8,Scheduled,Routine check
MNT00250,TURF026,Line Marking,2024-12-17,STF0147,3000,6,Completed,Urgent repair
MNT00251,TURF024,Pitch Rolling,2025-06-24,STF0112,8000,3,In Progress,Routine check
MNT00252,TURF042,Net Replacement,2025-11-12,STF0025,8000,4,Completed,Urgent repair
MNT00253,TURF042,Fencing Repair,2024-03-30,STF0123,12000,3,Scheduled,Scheduled upkeep
MNT00254,TURF025,Equipment Servicing,2026-03-16,STF0047,500,8,Completed,Routine check
MNT00255,TURF009,Floodlight Repair,2026-01-29,STF0095,2000,8,Completed,Scheduled upkeep
MNT00256,TURF017,Net Replacement,2026-06-17,STF0082,2000,8,Scheduled,Customer complaint follow-up
MNT00257,TURF030,Fencing Repair,2024-08-24,STF0106,12000,8,In Progress,Pre-season prep
MNT00258,TURF036,Painting,2025-02-09,STF0036,2000,4,In Progress,Scheduled upkeep
MNT00259,TURF045,Fencing Repair,2024-11-05,STF0150,8000,8,Completed,Scheduled upkeep
MNT00260,TURF030,Floodlight Repair,2026-03-24,STF0130,8000,2,Completed,Scheduled upkeep
MNT00261,TURF017,Pitch Rolling,2026-03-22,STF0061,8000,8,Completed,Routine check
MNT00262,TURF007,Line Marking,2026-05-05,STF0093,8000,6,In Progress,Scheduled upkeep
MNT00263,TURF037,Floodlight Repair,2025-03-30,STF0025,3000,1,Completed,Scheduled upkeep
MNT00264,TURF014,Line Marking,2025-12-12,STF0122,1000,1,Scheduled,Scheduled upkeep
MNT00265,TURF043,Cleaning,2026-06-05,STF0033,8000,8,Completed,Routine check
MNT00266,TURF014,Line Marking,2024-11-20,STF0106,5000,2,Completed,Urgent repair
MNT00267,TURF040,Equipment Servicing,2024-07-31,STF0020,12000,4,Completed,Routine check
MNT00268,TURF028,Net Replacement,2024-01-03,STF0048,2000,2,Completed,Pre-season prep
MNT00269,TURF030,Pitch Rolling,2025-12-15,STF0100,3000,1,Completed,Scheduled upkeep
MNT00270,TURF003,Drainage Check,2024-10-03,STF0029,8000,1,Scheduled,Routine check
MNT00271,TURF036,Cleaning,2024-06-20,STF0097,12000,8,Completed,Urgent repair
MNT00272,TURF018,Turf Mowing,2025-12-13,STF0100,2000,1,Completed,Scheduled upkeep
MNT00273,TURF013,Fencing Repair,2025-03-04,STF0138,3000,6,Completed,Urgent repair
MNT00274,TURF032,Painting,2024-05-25,STF0026,500,4,Completed,Scheduled upkeep
MNT00275,TURF001,Fencing Repair,2025-11-05,STF0147,500,2,Scheduled,Routine check
MNT00276,TURF039,Pitch Rolling,2026-03-28,STF0106,1500,1,Completed,Scheduled upkeep
MNT00277,TURF037,Line Marking,2024-08-09,STF0023,500,6,Completed,Customer complaint follow-up
MNT00278,TURF034,Floodlight Repair,2024-11-21,STF0093,1500,4,Completed,Customer complaint follow-up
MNT00279,TURF032,Drainage Check,2026-04-07,STF0011,5000,6,Completed,Scheduled upkeep
MNT00280,TURF050,Painting,2024-08-07,STF0063,500,8,Completed,Customer complaint follow-up
MNT00281,TURF009,Floodlight Repair,2024-10-11,STF0024,3000,6,Scheduled,Customer complaint follow-up
MNT00282,TURF007,Net Replacement,2024-08-08,STF0101,500,2,Scheduled,Urgent repair
MNT00283,TURF028,Equipment Servicing,2024-11-16,STF0078,1500,2,In Progress,Pre-season prep
MNT00284,TURF006,Net Replacement,2024-06-27,STF0029,2000,3,In Progress,Pre-season prep
MNT00285,TURF036,Painting,2024-11-13,STF0041,8000,6,Scheduled,Routine check
MNT00286,TURF018,Net Replacement,2025-07-20,STF0070,2000,3,Completed,Urgent repair
MNT00287,TURF034,Line Marking,2024-02-02,STF0093,2000,8,Scheduled,Customer complaint follow-up
MNT00288,TURF021,Painting,2025-05-01,STF0087,2000,3,Scheduled,Scheduled upkeep
MNT00289,TURF017,Pitch Rolling,2025-04-23,STF0082,8000,1,Completed,Pre-season prep
MNT00290,TURF042,Pitch Rolling,2024-04-03,STF0024,12000,4,Scheduled,Scheduled upkeep
