PaymentID,BookingID,CustomerID,PaymentDate,PaymentTime,BaseAmount,TaxAmount,TotalAmount,PaymentMethod,PaymentGateway,TransactionID,PaymentStatus,RefundAmount
PAY000021,BKG001788,CUST00238,2026-01-09,00:19:00,1000,180,1180,Debit Card,Instamojo,TXN8410132823oT,Success,0
PAY000022,BKG007686,CUST00334,2026-02-10,00:10:00,1500,270,1770,Net Banking,Instamojo,TXN9218835279Ue,Success,0
PAY000023,BKG003937,CUST01643,2024-01-14,00:25:00,1000,180,1180,UPI,Paytm,TXN8750677610BW,Success,0
PAY000024,BKG009240,CUST00266,2025-07-03,00:08:00,1500,270,1770,Credit Card,Instamojo,TXN5920881431Ni,Success,0
PAY000025,BKG005774,CUST01482,2026-05-20,00:05:00,1800,324,2124,Credit Card,Razorpay,TXN7976178159AL,Success,0
PAY000026,BKG003075,CUST02314,2024-12-21,00:30:00,800,144,944,UPI,CCAvenue,TXN8384572026yx,Success,0
PAY000027,BKG006431,CUST02190,2026-05-27,00:05:00,1000,180,1180,Net Banking,CCAvenue,TXN6862959125Cn,Refunded,1180
PAY000028,BKG006798,CUST01527,2025-04-24,00:20:00,1000,180,1180,Credit Card,Paytm,TXN4989925539rQ,Success,0
PAY000029,BKG006719,CUST01877,2025-01-27,00:21:00,1200,216,1416,UPI,PayU,TXN6074299074OE,Success,0
PAY000030,BKG000822,CUST00626,2025-03-22,00:25:00,1800,324,2124,Debit Card,Razorpay,TXN2966941799zF,Success,0
PAY000031,BKG004189,CUST02160,2024-01-27,00:05:00,2500,450,2950,Cash,Cashfree,TXN0808974748wR,Refunded,2950
PAY000032,BKG005080,CUST00203,2025-07-03,00:04:00,2500,450,2950,UPI,Instamojo,TXN9946418398th,Success,0
PAY000033,BKG008892,CUST00249,2024-09-22,00:21:00,2500,450,2950,Credit Card,CCAvenue,TXN6734785369IZ,Failed,0
PAY000034,BKG003042,CUST02451,2025-07-26,00:06:00,1000,180,1180,Wallet,Cashfree,TXN8164980445aY,Failed,0
PAY000035,BKG007415,CUST00786,2025-04-02,00:22:00,1200,216,1416,Credit Card,PayU,TXN9286052102zi,Success,0
PAY000036,BKG007592,CUST02105,2024-09-09,00:12:00,2000,360,2360,Cash,CCAvenue,TXN7066489008lr,Success,0
PAY000037,BKG005205,CUST01308,2025-01-29,00:22:00,1500,270,1770,Credit Card,Paytm,TXN8458130889Jm,Success,0
PAY000038,BKG004207,CUST00182,2026-01-13,00:14:00,2500,450,2950,UPI,CCAvenue,TXN0574883997qV,Success,0
PAY000039,BKG001064,CUST02353,2025-07-13,00:28:00,800,144,944,UPI,PayU,TXN1856302750da,Refunded,944
PAY000040,BKG009494,CUST02155,2024-09-02,00:13:00,2500,450,2950,Debit Card,Paytm,TXN3056619953bw,Pending,0
PAY000041,BKG002328,CUST00475,2025-07-17,00:30:00,2000,360,2360,Wallet,CCAvenue,TXN6418493784BC,Refunded,2360
PAY000042,BKG007910,CUST00524,2024-03-19,00:22:00,1200,216,1416,UPI,Cashfree,TXN9087018726PZ,Success,0
PAY000043,BKG000518,CUST02300,2025-11-11,00:22:00,1500,270,1770,Net Banking,PayU,TXN0013651034st,Success,0
PAY000044,BKG000843,CUST01279,2025-09-06,00:19:00,1500,270,1770,Credit Card,Cashfree,TXN4299067456Jz,Success,0
PAY000045,BKG006670,CUST00290,2026-04-05,00:27:00,1200,216,1416,Wallet,Cashfree,TXN5240622155NM,Success,0
PAY000046,BKG006880,CUST00895,2025-04-19,00:14:00,800,144,944,Credit Card,Cashfree,TXN6725622219av,Success,0
PAY000047,BKG005123,CUST01228,2025-03-01,00:02:00,2500,450,2950,Net Banking,Paytm,TXN3347047476tI,Success,0
PAY000048,BKG005612,CUST02272,2025-07-22,00:11:00,1500,270,1770,Credit Card,Razorpay,TXN4559396521oI,Success,0
PAY000049,BKG008671,CUST01201,2026-05-05,00:10:00,1800,324,2124,Debit Card,PayU,TXN3507124553gk,Success,0
PAY000050,BKG003447,CUST02023,2024-02-18,00:19:00,1000,180,1180,Cash,Cashfree,TXN9003622117pX,Success,0
PAY000051,BKG009112,CUST00692,2024-04-06,00:25:00,1000,180,1180,Net Banking,PayU,TXN2772648839wJ,Success,0
PAY000052,BKG003897,CUST01443,2024-08-06,00:21:00,1800,324,2124,UPI,Instamojo,TXN5585229425iT,Success,0
PAY000053,BKG007789,CUST00992,2025-06-21,00:11:00,1500,270,1770,Credit Card,Razorpay,TXN5161857591Ce,Success,0
PAY000054,BKG009370,CUST00990,2024-12-21,00:24:00,800,144,944,Debit Card,CCAvenue,TXN0508054914CD,Success,0
PAY000055,BKG002297,CUST01676,2024-09-09,00:02:00,800,144,944,UPI,Instamojo,TXN4473535247HU,Failed,0
PAY000056,BKG009764,CUST00091,2024-02-17,00:06:00,800,144,944,Credit Card,Instamojo,TXN4171594973qs,Success,0
PAY000057,BKG008921,CUST00515,2025-02-03,00:14:00,1000,180,1180,Net Banking,CCAvenue,TXN9305378803mh,Success,0
PAY000058,BKG009636,CUST00886,2025-10-09,00:22:00,2500,450,2950,Cash,Instamojo,TXN8361133892Bc,Refunded,2950
PAY000059,BKG007526,CUST02359,2024-12-28,00:22:00,2000,360,2360,Net Banking,Cashfree,TXN8788281527IE,Success,0
PAY000060,BKG005629,CUST00355,2024-10-24,00:10:00,1200,216,1416,Debit Card,CCAvenue,TXN3048625152hC,Refunded,1416
PAY000061,BKG006308,CUST00002,2025-05-08,00:21:00,1000,180,1180,Debit Card,PayU,TXN4653537801GK,Success,0
PAY000062,BKG004508,CUST02056,2024-02-01,00:09:00,1000,180,1180,Credit Card,PayU,TXN1567344671VE,Success,0
PAY000063,BKG004460,CUST02494,2024-09-20,00:18:00,1500,270,1770,UPI,Razorpay,TXN7629691433zi,Failed,0
PAY000064,BKG007247,CUST00237,2024-10-21,00:11:00,2000,360,2360,Cash,Instamojo,TXN9994664509LK,Pending,0
PAY000065,BKG005835,CUST02080,2024-10-26,00:23:00,1000,180,1180,Net Banking,PayU,TXN9001089857oK,Success,0
PAY000066,BKG009910,CUST01804,2024-09-10,00:21:00,2000,360,2360,Credit Card,Instamojo,TXN0835211896QH,Failed,0
PAY000067,BKG008940,CUST00706,2025-10-20,00:28:00,1000,180,1180,Net Banking,Paytm,TXN4424648849WQ,Failed,0
PAY000068,BKG000438,CUST01870,2025-05-11,00:23:00,1000,180,1180,Debit Card,Paytm,TXN9795728575OT,Pending,0
PAY000069,BKG008564,CUST00075,2024-12-07,00:24:00,1500,270,1770,Debit Card,PayU,TXN9582819022eC,Success,0
PAY000070,BKG008262,CUST00208,2025-10-01,00:13:00,1000,180,1180,Debit Card,Paytm,TXN9789124883OM,Success,0
PAY000071,BKG000844,CUST01130,2026-03-21,00:16:00,2500,450,2950,UPI,Instamojo,TXN7170598445Zg,Success,0
PAY000072,BKG007343,CUST02154,2025-07-20,00:11:00,2500,450,2950,Cash,Paytm,TXN4367286811lU,Success,0
PAY000073,BKG001737,CUST01756,2024-01-05,00:17:00,2000,360,2360,Debit Card,CCAvenue,TXN3038856811Kp,Success,0
PAY000074,BKG005625,CUST01847,2024-10-05,00:26:00,1000,180,1180,Net Banking,CCAvenue,TXN9781459009QU,Success,0
PAY000075,BKG003541,CUST01746,2025-10-25,00:29:00,1800,324,2124,Credit Card,Instamojo,TXN9217790552JB,Success,0
PAY000076,BKG004740,CUST00514,2026-03-25,00:15:00,1500,270,1770,UPI,Paytm,TXN6933515880WU,Success,0
PAY000077,BKG009387,CUST01525,2024-11-17,00:18:00,800,144,944,Net Banking,Cashfree,TXN7053260119pY,Success,0
PAY000078,BKG007414,CUST01813,2025-06-18,00:23:00,2500,450,2950,UPI,CCAvenue,TXN9103829742Pu,Success,0
PAY000079,BKG005563,CUST00975,2025-12-22,00:26:00,2500,450,2950,Cash,Instamojo,TXN5136090858Zg,Success,0
PAY000080,BKG003741,CUST02147,2025-01-31,00:15:00,2500,450,2950,Wallet,Paytm,TXN8104502437nz,Success,0
PAY000081,BKG001974,CUST00404,2026-04-09,00:20:00,800,144,944,UPI,Paytm,TXN1587366271nS,Success,0
PAY000082,BKG004001,CUST01060,2024-01-19,00:13:00,800,144,944,Cash,CCAvenue,TXN5896933539dT,Success,0
PAY000083,BKG009714,CUST01477,2024-11-02,00:26:00,1500,270,1770,Credit Card,Razorpay,TXN0585615473fP,Refunded,1770
PAY000084,BKG007825,CUST02276,2025-05-31,00:02:00,1500,270,1770,Credit Card,Paytm,TXN5663979255Yh,Success,0
PAY000085,BKG005833,CUST01959,2025-08-28,00:10:00,2500,450,2950,Credit Card,Cashfree,TXN1643690283EF,Failed,0
PAY000086,BKG001372,CUST02259,2025-10-18,00:03:00,1200,216,1416,Cash,Paytm,TXN2702896660vp,Success,0
PAY000087,BKG003602,CUST01163,2025-04-25,00:02:00,2500,450,2950,Cash,Paytm,TXN4281644161cg,Failed,0
PAY000088,BKG001903,CUST02160,2024-08-29,00:01:00,1800,324,2124,Wallet,Paytm,TXN9753584640xh,Success,0
PAY000089,BKG008198,CUST02085,2024-03-19,00:27:00,2000,360,2360,Credit Card,Paytm,TXN0388027304jF,Success,0
PAY000090,BKG004936,CUST00434,2024-05-28,00:16:00,1500,270,1770,Credit Card,CCAvenue,TXN6362814447hH,Success,0
PAY000091,BKG003010,CUST01564,2025-03-11,00:26:00,1200,216,1416,Debit Card,Cashfree,TXN9395309690AF,Success,0
PAY000092,BKG005707,CUST02068,2024-01-30,00:30:00,1000,180,1180,Wallet,CCAvenue,TXN6490922884NG,Success,0
PAY000093,BKG006241,CUST01860,2026-01-02,00:03:00,800,144,944,Wallet,Cashfree,TXN7455135872Fh,Success,0
PAY000094,BKG007994,CUST01205,2024-05-23,00:22:00,1800,324,2124,Wallet,Paytm,TXN7430688116rX,Success,0
PAY000095,BKG007211,CUST00948,2024-05-29,00:28:00,1200,216,1416,UPI,Cashfree,TXN0343988187nJ,Failed,0
PAY000096,BKG008712,CUST01630,2024-05-09,00:14:00,2500,450,2950,Cash,Razorpay,TXN7758333647Ca,Success,0
PAY000097,BKG004845,CUST00932,2025-10-05,00:04:00,1000,180,1180,UPI,Razorpay,TXN4130909153GO,Success,0
PAY000098,BKG000935,CUST00213,2024-04-17,00:19:00,2500,450,2950,Cash,CCAvenue,TXN6028262542cq,Success,0
PAY000099,BKG001066,CUST02136,2024-02-27,00:04:00,1800,324,2124,Wallet,CCAvenue,TXN1231905772ar,Success,0
PAY000100,BKG005176,CUST01751,2025-09-27,00:20:00,1000,180,1180,Credit Card,Paytm,TXN4100794193kr,Success,0
PAY000101,BKG002919,CUST00068,2024-04-22,00:28:00,2500,450,2950,UPI,Instamojo,TXN5381097941Oj,Success,0
PAY000102,BKG007682,CUST01644,2024-07-14,00:21:00,1000,180,1180,Wallet,Cashfree,TXN2487098726qK,Success,0
PAY000103,BKG000959,CUST01101,2025-11-15,00:19:00,2500,450,2950,Net Banking,Cashfree,TXN6322517422sa,Success,0
PAY000104,BKG003477,CUST00070,2024-04-15,00:21:00,2000,360,2360,Wallet,Instamojo,TXN4326118900mt,Failed,0
PAY000105,BKG007433,CUST01607,2024-11-14,00:05:00,1000,180,1180,Cash,Instamojo,TXN6861630702Iz,Success,0
PAY000106,BKG001358,CUST01152,2025-03-03,00:20:00,800,144,944,Credit Card,PayU,TXN7202009536ZA,Success,0
PAY000107,BKG008017,CUST00160,2026-05-08,00:03:00,1500,270,1770,UPI,Cashfree,TXN2195368900vD,Success,0
PAY000108,BKG007461,CUST01978,2024-03-26,00:09:00,1500,270,1770,Debit Card,PayU,TXN7950017325ZK,Success,0
PAY000109,BKG005010,CUST01810,2026-03-11,00:20:00,2000,360,2360,Net Banking,PayU,TXN0073971307kk,Success,0
PAY000110,BKG008971,CUST01005,2026-01-02,00:16:00,800,144,944,Credit Card,CCAvenue,TXN1138690871Py,Success,0
PAY000111,BKG005375,CUST02353,2024-11-29,00:28:00,1800,324,2124,Debit Card,Paytm,TXN7221045461Fh,Success,0
PAY000112,BKG007638,CUST02144,2025-08-31,00:24:00,1500,270,1770,Credit Card,Razorpay,TXN9281707443Ad,Success,0
PAY000113,BKG005397,CUST01188,2026-01-22,00:19:00,800,144,944,Cash,CCAvenue,TXN2344225216aj,Success,0
PAY000114,BKG002245,CUST00620,2024-09-22,00:08:00,2500,450,2950,Debit Card,Cashfree,TXN5239412094tV,Pending,0
PAY000115,BKG009115,CUST00604,2024-01-06,00:22:00,1800,324,2124,Credit Card,Paytm,TXN7726903265ug,Pending,0
PAY000116,BKG000804,CUST00063,2024-04-23,00:13:00,1800,324,2124,UPI,PayU,TXN3276179480Ri,Success,0
PAY000117,BKG003171,CUST01754,2024-02-06,00:24:00,800,144,944,Cash,PayU,TXN4559851602gg,Success,0
PAY000118,BKG004994,CUST01819,2026-04-18,00:08:00,1500,270,1770,Cash,Cashfree,TXN9158912686WS,Success,0
PAY000119,BKG006255,CUST01449,2025-05-15,00:23:00,1000,180,1180,Wallet,Paytm,TXN4986478686in,Success,0
PAY000120,BKG005396,CUST02466,2024-05-03,00:13:00,1500,270,1770,UPI,Instamojo,TXN7600884474bG,Success,0
PAY000121,BKG007566,CUST00871,2026-04-03,00:30:00,2500,450,2950,Wallet,CCAvenue,TXN3781919074NK,Success,0
PAY000122,BKG000754,CUST00549,2025-05-20,00:02:00,1000,180,1180,Cash,CCAvenue,TXN2164006983zM,Success,0
PAY000123,BKG007132,CUST01967,2024-07-02,00:08:00,1500,270,1770,UPI,PayU,TXN2353484864Cc,Success,0
PAY000124,BKG001215,CUST00435,2026-04-01,00:29:00,1000,180,1180,Cash,CCAvenue,TXN8213986546lj,Success,0
PAY000125,BKG002875,CUST00125,2025-06-20,00:26:00,800,144,944,Net Banking,Razorpay,TXN0212372055an,Success,0
PAY000126,BKG005327,CUST00135,2024-10-15,00:04:00,1500,270,1770,Credit Card,Instamojo,TXN3000088634VT,Failed,0
PAY000127,BKG000227,CUST02338,2025-09-24,00:15:00,1800,324,2124,Net Banking,PayU,TXN6739190088KX,Pending,0
PAY000128,BKG008710,CUST00107,2025-03-05,00:29:00,2500,450,2950,Net Banking,CCAvenue,TXN9114160091yK,Success,0
PAY000129,BKG003493,CUST00229,2024-07-01,00:26:00,2500,450,2950,Credit Card,CCAvenue,TXN2327379897VT,Success,0
PAY000130,BKG004900,CUST02139,2024-09-16,00:09:00,1500,270,1770,Cash,Instamojo,TXN9060854818BE,Success,0
PAY000131,BKG008109,CUST02359,2026-04-14,00:18:00,2500,450,2950,Credit Card,Razorpay,TXN4630009984Ro,Success,0
PAY000132,BKG004896,CUST02239,2026-03-20,00:27:00,2500,450,2950,Debit Card,CCAvenue,TXN3611371181uf,Success,0
PAY000133,BKG001065,CUST01106,2025-07-26,00:09:00,1200,216,1416,Net Banking,Razorpay,TXN9854582942bm,Success,0
PAY000134,BKG001158,CUST00831,2025-03-01,00:17:00,800,144,944,Debit Card,PayU,TXN4015353466bC,Failed,0
PAY000135,BKG007136,CUST01286,2025-12-27,00:12:00,1200,216,1416,Credit Card,Paytm,TXN5699944946BC,Success,0
PAY000136,BKG007969,CUST01232,2024-03-18,00:19:00,1500,270,1770,Cash,PayU,TXN2010824028fS,Success,0
PAY000137,BKG002586,CUST01105,2024-05-09,00:17:00,1200,216,1416,Debit Card,CCAvenue,TXN8223879402zj,Success,0
PAY000138,BKG001666,CUST00715,2025-10-01,00:10:00,1000,180,1180,Wallet,Instamojo,TXN0858174527oY,Pending,0
PAY000139,BKG009047,CUST00093,2026-04-30,00:30:00,800,144,944,Debit Card,Razorpay,TXN5364235700sf,Success,0
PAY000140,BKG007639,CUST01916,2024-05-12,00:30:00,800,144,944,Cash,Instamojo,TXN2918285181RA,Success,0
PAY000141,BKG007419,CUST00621,2025-02-12,00:04:00,2500,450,2950,Net Banking,CCAvenue,TXN1255904610dD,Success,0
PAY000142,BKG001411,CUST01207,2024-03-17,00:12:00,2000,360,2360,Wallet,Instamojo,TXN9230466001iJ,Success,0
PAY000143,BKG005040,CUST00173,2024-02-24,00:30:00,2500,450,2950,Cash,PayU,TXN3827101232KV,Success,0
PAY000144,BKG009998,CUST01503,2025-02-03,00:05:00,1500,270,1770,UPI,Razorpay,TXN6151204850FV,Success,0
PAY000145,BKG005623,CUST00330,2025-11-13,00:02:00,1500,270,1770,UPI,Razorpay,TXN6653446042jC,Success,0
PAY000146,BKG006849,CUST02208,2025-01-05,00:27:00,1500,270,1770,Debit Card,PayU,TXN6346019153ax,Success,0
PAY000147,BKG003228,CUST02392,2026-03-13,00:23:00,1200,216,1416,Cash,Razorpay,TXN7347243586fF,Success,0
PAY000148,BKG003889,CUST01034,2025-05-19,00:29:00,1500,270,1770,UPI,Paytm,TXN6822512726Ca,Success,0
PAY000149,BKG007418,CUST01624,2025-02-23,00:28:00,2500,450,2950,Wallet,Cashfree,TXN8666562241NC,Success,0
PAY000150,BKG004572,CUST00912,2024-08-30,00:23:00,1800,324,2124,Credit Card,PayU,TXN6878494771Qk,Success,0
PAY000151,BKG006657,CUST02490,2025-08-25,00:18:00,2500,450,2950,Cash,Paytm,TXN9035006184GK,Success,0
PAY000152,BKG002957,CUST01774,2024-01-26,00:04:00,1000,180,1180,Debit Card,PayU,TXN7422354340tU,Success,0
PAY000153,BKG004691,CUST00991,2024-10-23,00:11:00,1500,270,1770,Wallet,PayU,TXN6682121564MV,Success,0
PAY000154,BKG007512,CUST01841,2025-03-22,00:02:00,1000,180,1180,Debit Card,Razorpay,TXN5254920644Pf,Success,0
PAY000155,BKG000647,CUST02428,2026-06-01,00:13:00,1500,270,1770,Debit Card,Cashfree,TXN1197388182Dp,Refunded,1770
PAY000156,BKG003766,CUST01518,2025-11-15,00:04:00,2500,450,2950,Wallet,Cashfree,TXN0634359488Zl,Pending,0
PAY000157,BKG003297,CUST00811,2026-04-16,00:21:00,1500,270,1770,Wallet,CCAvenue,TXN1884968066qX,Failed,0
PAY000158,BKG004436,CUST01297,2024-01-31,00:07:00,1000,180,1180,UPI,Paytm,TXN0511021254mQ,Success,0
PAY000159,BKG007901,CUST01772,2025-12-14,00:20:00,2500,450,2950,Credit Card,Cashfree,TXN4123016049VH,Success,0
PAY000160,BKG005421,CUST01256,2024-02-08,00:21:00,2500,450,2950,Cash,Cashfree,TXN6037218600mk,Success,0
PAY000161,BKG003826,CUST02347,2024-01-31,00:24:00,2500,450,2950,Debit Card,Instamojo,TXN0319789990ff,Success,0
PAY000162,BKG003306,CUST01788,2025-06-26,00:21:00,800,144,944,Debit Card,PayU,TXN4003471317Vg,Success,0
PAY000163,BKG002907,CUST02298,2024-10-03,00:17:00,1000,180,1180,Debit Card,PayU,TXN9786016259Wd,Success,0
PAY000164,BKG001667,CUST02142,2026-03-17,00:30:00,2500,450,2950,Cash,Instamojo,TXN8419478550Oh,Success,0
PAY000165,BKG001115,CUST00080,2024-02-11,00:28:00,1500,270,1770,Cash,Paytm,TXN1375358210Ek,Failed,0
PAY000166,BKG009618,CUST01194,2024-06-05,00:28:00,1200,216,1416,Credit Card,PayU,TXN8878072790To,Success,0
PAY000167,BKG002437,CUST01425,2026-05-20,00:08:00,1500,270,1770,UPI,CCAvenue,TXN7161608819Ej,Success,0
PAY000168,BKG003818,CUST00339,2025-06-02,00:25:00,2500,450,2950,Net Banking,CCAvenue,TXN2399647718mF,Success,0
PAY000169,BKG004825,CUST00524,2024-04-26,00:12:00,1000,180,1180,Debit Card,CCAvenue,TXN5307681024Ja,Success,0
PAY000170,BKG004722,CUST00703,2025-04-20,00:29:00,2000,360,2360,Cash,Paytm,TXN8557800244mZ,Success,0
PAY000171,BKG004523,CUST00549,2024-03-29,00:20:00,1500,270,1770,Credit Card,Cashfree,TXN2362216906MQ,Success,0
PAY000172,BKG005828,CUST00280,2024-01-08,00:29:00,1200,216,1416,Net Banking,Razorpay,TXN6857467067RR,Success,0
PAY000173,BKG007594,CUST00197,2025-11-20,00:08:00,2500,450,2950,Debit Card,Paytm,TXN5169139521ud,Success,0
PAY000174,BKG001377,CUST00631,2025-11-20,00:20:00,1200,216,1416,Net Banking,Instamojo,TXN1642610703mx,Success,0
PAY000175,BKG005852,CUST01770,2026-04-07,00:21:00,1200,216,1416,Debit Card,PayU,TXN0842431983Ki,Success,0
PAY000176,BKG005014,CUST01893,2024-07-07,00:28:00,1500,270,1770,Wallet,CCAvenue,TXN4848130041VB,Pending,0
PAY000177,BKG000323,CUST02493,2025-06-10,00:04:00,1000,180,1180,Cash,PayU,TXN9105302151yE,Success,0
PAY000178,BKG006369,CUST00945,2026-02-27,00:27:00,2500,450,2950,Credit Card,CCAvenue,TXN5864633953tJ,Success,0
PAY000179,BKG000288,CUST01893,2025-07-03,00:07:00,1500,270,1770,Wallet,PayU,TXN1105014764Xj,Pending,0
PAY000180,BKG006057,CUST01066,2024-01-01,00:25:00,2500,450,2950,Cash,CCAvenue,TXN7896157385uV,Success,0
PAY000181,BKG009744,CUST00002,2026-01-19,00:26:00,1500,270,1770,Net Banking,PayU,TXN1281775123Lx,Success,0
PAY000182,BKG005430,CUST00767,2024-08-12,00:06:00,1000,180,1180,UPI,PayU,TXN9781554260WQ,Success,0
PAY000183,BKG004606,CUST00139,2024-05-16,00:30:00,2500,450,2950,UPI,Razorpay,TXN9723602446WV,Success,0
PAY000184,BKG003678,CUST01096,2025-12-08,00:23:00,2500,450,2950,Cash,Razorpay,TXN5467720517gb,Success,0
PAY000185,BKG004120,CUST01006,2024-12-13,00:28:00,1000,180,1180,Credit Card,Paytm,TXN7308715647IP,Success,0
PAY000186,BKG006590,CUST00271,2024-10-07,00:17:00,800,144,944,Cash,Razorpay,TXN3703175438bX,Success,0
PAY000187,BKG003070,CUST02049,2025-05-31,00:20:00,1500,270,1770,UPI,Cashfree,TXN2741485726dk,Pending,0
PAY000188,BKG001206,CUST00455,2026-06-01,00:10:00,2500,450,2950,Credit Card,Paytm,TXN9254686272JH,Success,0
PAY000189,BKG007018,CUST01645,2024-03-25,00:11:00,1800,324,2124,Wallet,PayU,TXN4076642076Rn,Success,0
PAY000190,BKG001032,CUST00382,2024-02-08,00:02:00,2500,450,2950,Cash,Cashfree,TXN2713538676Si,Refunded,2950
PAY000191,BKG008322,CUST00746,2025-11-03,00:17:00,2500,450,2950,Debit Card,Razorpay,TXN5923868790AQ,Success,0
PAY000192,BKG004405,CUST01931,2026-05-06,00:21:00,2000,360,2360,Wallet,CCAvenue,TXN0488693205Xx,Success,0
PAY000193,BKG000818,CUST00039,2025-06-28,00:24:00,2000,360,2360,UPI,CCAvenue,TXN3405089273KA,Refunded,2360
PAY000194,BKG002129,CUST02415,2025-07-05,00:23:00,2000,360,2360,Net Banking,Instamojo,TXN1597640535AC,Success,0
PAY000195,BKG001866,CUST00379,2024-10-26,00:21:00,1000,180,1180,Debit Card,Razorpay,TXN0789775542Be,Success,0
PAY000196,BKG001723,CUST01134,2024-07-12,00:14:00,2000,360,2360,Cash,Instamojo,TXN9038422736Vi,Success,0
PAY000197,BKG005903,CUST01316,2024-05-29,00:11:00,1000,180,1180,Debit Card,Cashfree,TXN7320222711We,Success,0
PAY000198,BKG006093,CUST01502,2024-06-24,00:26:00,1000,180,1180,Debit Card,Razorpay,TXN7576917162dX,Success,0
PAY000199,BKG009945,CUST00225,2024-12-14,00:05:00,1800,324,2124,Net Banking,Cashfree,TXN4298514486KJ,Success,0
PAY000200,BKG008637,CUST01716,2025-04-12,00:09:00,1500,270,1770,Debit Card,Paytm,TXN3052169039Zl,Success,0
PAY000201,BKG006082,CUST02140,2025-02-21,00:11:00,800,144,944,Net Banking,Razorpay,TXN2026980142Rz,Success,0
PAY000202,BKG002674,CUST01001,2025-03-02,00:06:00,1800,324,2124,Cash,Cashfree,TXN4710680177Wb,Success,0
PAY000203,BKG005786,CUST02496,2024-03-21,00:21:00,2500,450,2950,Debit Card,Cashfree,TXN3163705004Lm,Success,0
PAY000204,BKG007263,CUST00822,2024-12-10,00:23:00,1000,180,1180,Cash,Razorpay,TXN3267244693hZ,Success,0
PAY000205,BKG005712,CUST00942,2026-02-23,00:24:00,800,144,944,Wallet,Cashfree,TXN7294763808oK,Success,0
PAY000206,BKG005579,CUST02217,2024-06-25,00:01:00,1200,216,1416,Credit Card,Razorpay,TXN0654025998ug,Success,0
PAY000207,BKG001685,CUST01885,2024-05-19,00:16:00,2500,450,2950,Cash,Paytm,TXN9393272728fk,Success,0
PAY000208,BKG006332,CUST00198,2025-01-19,00:11:00,2000,360,2360,Cash,Paytm,TXN9163504960iB,Refunded,2360
PAY000209,BKG007276,CUST00705,2024-12-27,00:16:00,800,144,944,Net Banking,Cashfree,TXN6765272845nL,Pending,0
PAY000210,BKG002031,CUST00709,2025-02-19,00:10:00,800,144,944,Wallet,Paytm,TXN7499507088Bt,Success,0
PAY000211,BKG000009,CUST00591,2026-02-23,00:09:00,1500,270,1770,UPI,Cashfree,TXN0675602080QT,Success,0
PAY000212,BKG001515,CUST00457,2024-11-03,00:27:00,1200,216,1416,Cash,Instamojo,TXN1929022154pN,Success,0
